0.0234267+-0.0180555i
-0.0248474+0.0373791i
-0.0259208+-0.0207062i
0.0283991+0.0137996i
0.0381323+-0.00842824i
-0.00344155+0.00615939i
-0.00954505+-0.00756272i
-0.0115082+0.00553092i
0.00502308+0.00129654i
0.00482573+-0.0276544i
0.00392082+0.0324557i
-0.0420583+0.0291677i
0.0868796+-0.00928588i
-0.0151371+-0.209904i
-0.0372465+0.125106i
-0.0215859+-0.0125338i
0.0459122+-0.00409061i
0.0463127+-0.0253555i
-0.0408124+0.0160343i
0.00397093+-0.0286541i
-0.00873971+0.00587499i
-0.0160326+0.00119134i
-0.0116655+0.00641404i
0.0134955+0.00700053i
0.00929264+-0.00315632i
0.0139951+-0.000206681i
-0.00459095+-0.0184404i
-0.00313039+0.0240473i
0.00976231+0.00591494i
0.000912429+0.00317409i
-0.0188351+0.0167712i
0.0288938+-0.0234591i
-0.00117977+-0.00297187i
-0.0389735+0.0124572i
-0.00579803+-0.0261354i
-0.00664748+0.00640628i
0.00100436+0.01413i
-0.000116445+0.0111923i
0.0127281+-0.00214551i
0.00230167+-0.00940731i
0.00299205+-0.0141266i
0.00985366+-0.00391027i
-0.0397453+-0.000451855i
-0.0877863+0.0772014i
0.109352+-0.0894359i
0.00251383+0.0129113i
0.0147103+0.0136624i
-0.0500742+0.0276042i
0.0367996+-0.0482396i
-0.00226983+0.00856499i
0.0177001+0.00239499i
0.0293684+0.00536411i
0.0101659+-0.0149801i
0.00248297+-0.00948783i
-0.0342097+0.0145032i
-0.000879156+-0.00640136i
0.0163058+0.00382083i
-0.00644124+-0.00846563i
-0.000389296+0.0247995i
-0.00447068+-0.00576021i
0.0197863+-0.0419811i
0.0761509+-0.0651105i
-0.108439+0.10171i
-0.012704+-0.0121577i
-0.00570399+0.032621i
0.0163424+0.013163i
0.0243473+-0.0112746i
0.00447255+-0.0185562i
-0.0147299+-0.00122657i
-0.0323875+0.0109381i
-0.0264849+0.0322364i
-0.00148981+0.01567i
0.048716+-0.0392817i
0.0890527+0.00124429i
-0.127618+0.00808394i
-0.00918313+-0.00899591i
-0.129371+0.0507654i
0.127774+-0.0948969i
0.0125345+0.00800586i
-0.000445679+0.0214886i
-0.0190135+0.0130645i
-0.0281847+-0.0199461i
-0.0138429+-0.00986457i
0.0219834+-0.00312927i
0.0385499+0.00518074i
-0.00156684+0.00525687i
0.0208029+-0.014517i
-0.0195037+0.0178076i
-0.0168404+0.025464i
0.0109764+0.0051546i
-0.00736695+0.0232946i
-0.0198997+0.00823131i
0.00762346+-0.00592087i
0.00429573+0.00292277i
0.0101795+0.000553908i
-0.0093845+-0.0115152i
-0.00389942+-0.0219151i
0.00492661+-0.00800611i
-0.00262229+0.00872845i
0.0108904+0.0101955i
0.0486281+-0.0348919i
0.00738572+0.00550926i
-0.0986979+0.054556i
0.0796693+-0.135572i
-0.025062+0.0830268i
0.0806602+-0.00360435i
-0.0570519+0.0281498i
-0.000404647+0.00534227i
-0.0325612+0.00566312i
0.0043444+-0.00457626i
0.0130378+-0.0125185i
0.00447512+0.00375938i
-0.00637582+0.00820656i
-0.00475756+0.0184655i
0.0303735+-0.0255296i
-0.0426+0.0287351i
-0.0436072+0.0116122i
0.0625828+-0.0787032i
-0.0445517+0.00842241i
0.0426533+0.0311424i
0.0522136+-0.0289479i
-0.0231061+0.00243987i
-0.0257873+0.00999934i
-0.0584115+0.0311829i
-0.0036811+-0.00255428i
0.0175031+-0.00454421i
0.0140824+0.0165019i
-0.00836991+0.0188458i
0.00350643+-0.00164619i
0.062146+-0.0666135i
-0.0488125+0.0222559i
-0.0393255+-0.00176905i
0.0312563+-0.0172761i
-0.0107311+0.0042742i
0.00883092+0.00456442i
-0.0796561+0.0215985i
0.0525211+-0.0112765i
0.0386666+-0.0350004i
0.0494405+-0.0187768i
0.00531824+-0.010808i
-0.00111561+-0.000408431i
0.00727301+0.00489421i
-0.000934293+0.0170176i
-0.0127687+-0.00751654i
-0.0690665+0.0344627i
0.054916+-0.0258846i
0.067209+-0.0320425i
0.0147833+0.0190442i
-0.0231222+0.0221153i
0.00289984+-0.0176217i
-0.00827763+-0.0408685i
-0.00684386+0.0407583i
0.0216641+-0.0131181i
0.0296986+0.00754741i
-0.00621953+-0.00898303i
-0.0314546+-0.000540286i
-0.00751373+-0.00681125i
0.0126973+-0.00307005i
0.0112302+-0.00078358i
-0.0339656+0.00573429i
0.0170359+-0.00151626i
0.0309247+0.00314921i
-0.00747917+0.0234433i
-0.0189403+0.00562717i
0.00105431+-0.0135032i
0.0250173+-0.00929528i
-0.0169709+0.00983054i
0.051058+-0.0238733i
-0.00428356+0.0251183i
-0.0251828+0.0101739i
-0.0342654+0.00577973i
-0.00508634+-0.0109632i
0.0142938+-0.00656257i
0.0128404+-0.00259595i
-0.00306193+0.00113383i
-0.00802058+0.00765941i
-0.00423327+0.0107449i
-0.0125249+0.00500014i
-0.0104027+-0.0161232i
0.000632419+-0.00353428i
0.00685687+0.0192097i
-0.0114868+-0.0101014i
-0.0380562+0.0278702i
0.00341318+-0.00795372i
-0.00501002+-0.00669585i
0.0262384+-0.0185331i
0.0100321+0.00286388i
0.00313362+0.00760089i
-0.00680306+-0.00105278i
0.0041899+-0.00447979i
-0.00129558+-0.000847634i
-0.00664056+0.00179762i
-0.00584418+-0.0059901i
0.000753183+-0.0143351i
0.00664803+0.00695082i
-0.00233028+0.0105339i
-0.00238329+-0.0186014i
-0.071471+0.00997699i
0.0240074+-0.029115i
0.0184381+0.00326698i
0.0350928+-0.00806886i
0.010469+0.00877367i
-0.00656981+0.011596i
-0.0148589+0.00205279i
0.0119582+-0.00254241i
-0.00305561+-0.00385166i
-0.00360813+-0.00215392i
0.00600641+-0.0046807i
0.0100094+-0.00914452i
0.000914107+0.00295815i
-0.0149144+-0.022751i
0.0371813+-0.00391283i
0.03051+0.0100483i
-0.0261989+-0.00516388i
0.00154593+-0.00040904i
-0.0246894+0.0058117i
-0.0207359+0.0122707i
-0.00403712+-0.00500579i
-1.73943e-05+-0.0124291i
0.00856058+0.00365062i
-0.00407817+0.00385674i
0.0086279+0.00527186i
-0.000218036+-0.0126189i
-0.0022471+0.00898886i
0.00750671+0.0132504i
0.065197+-0.0901654i
0.0713994+-0.0175731i
0.0363687+-0.0085374i
0.050701+-0.0523627i
0.0821328+-0.0504693i
0.0493165+-0.0268432i
0.0365497+-0.0332712i
0.0518296+-0.0227546i
0.0758616+-0.0237232i
0.0661969+-0.0480854i
0.060531+-0.0650655i
0.0127129+0.00791041i
0.049924+0.0315876i
0.0811491+-0.0747632i
0.0827143+-0.062363i
-0.00998028+-0.0360581i
-0.00358736+-0.0523598i
-0.0480453+-0.00997387i
0.00643267+-0.0568213i
0.00986801+-0.0495669i
-0.0187267+-0.0347948i
-0.0136171+-0.0423647i
0.00113165+-0.0513533i
0.00318996+-0.0526111i
-0.0251884+-0.038932i
-0.0252888+-0.0332345i
0.00684305+-0.0393942i
0.0918103+-0.0469862i
-0.0513999+-0.00428802i
-0.0332632+-0.0924823i
0.0295786+-0.0684372i
0.110428+-0.0431893i
-0.0467293+-0.0685562i
0.0644074+-0.0871495i
0.0368807+-0.0654556i
0.0154586+-0.0350498i
-0.000619727+-0.0396195i
0.0284435+-0.0380026i
0.0475754+-0.0386213i
0.0222868+-0.042009i
0.00382229+-0.0351407i
0.000645836+-0.0436998i
0.0224123+-0.0367783i
-0.0579038+-0.0267089i
0.0317983+-0.0608911i
0.0344699+-0.0326539i
0.0112933+-0.0213572i
-0.0521932+-0.020882i
0.00875341+-0.0328192i
0.0116859+-0.0193424i
-0.0261796+-0.0110797i
-0.0186632+-0.0302626i
0.0169251+-0.0287729i
0.0193018+-0.0275644i
-0.00143078+-0.0259553i
-0.0133811+-0.0506856i
-0.00105213+-0.0470878i
0.0159109+-0.0582864i
0.00895658+-0.00386842i
0.080992+-0.057436i
