-4.33798e-08+4.9933e-09i
-4.61064e-08+-3.31553e-08i
1.92748e-08+3.76493e-08i
-5.30029e-08+-1.61947e-08i
-9.18803e-09+-1.15598e-09i
7.24025e-08+-1.72276e-08i
-3.35256e-08+1.00297e-08i
-3.23827e-08+-2.86741e-08i
1.33982e-08+-3.08521e-08i
5.04903e-08+1.28969e-08i
-2.66701e-08+-3.70877e-08i
5.40331e-09+3.0235e-08i
9.59458e-08+-2.92691e-08i
-3.91734e-08+3.68168e-08i
3.2105e-08+-3.12127e-08i
2.99925e-08+1.85408e-08i
-8.02743e-09+-5.49186e-09i
-1.52141e-08+3.88147e-09i
-1.32477e-08+3.15344e-08i
-1.0173e-08+-4.99722e-10i
3.67599e-09+8.63522e-09i
3.74962e-09+5.17033e-09i
-3.21262e-08+4.86009e-08i
3.70927e-08+-9.71973e-09i
-4.35832e-08+3.86483e-09i
-2.34666e-08+9.02601e-09i
1.73683e-08+-2.08518e-08i
1.12784e-08+4.87229e-08i
-5.58508e-09+-1.25577e-08i
-1.23863e-10+-1.26834e-08i
-3.32549e-08+-9.69373e-09i
-1.30956e-09+1.17599e-10i
1.33801e-08+1.62496e-08i
-1.49579e-08+-4.16828e-09i
8.87548e-09+-4.4445e-09i
3.93565e-08+1.86759e-09i
-3.81217e-09+2.587e-08i
-4.37019e-09+-1.35485e-08i
1.90596e-08+3.99491e-08i
-4.39273e-09+1.89129e-08i
-4.12865e-08+-1.17837e-08i
1.81301e-08+-2.00092e-08i
-1.55236e-08+-2.53667e-08i
-6.68467e-08+1.55918e-09i
2.83233e-08+-4.21275e-09i
1.34738e-08+-2.59732e-08i
-4.21347e-08+-2.67718e-08i
3.5805e-08+-2.64751e-08i
4.82909e-08+-3.25913e-09i
2.7362e-09+1.11056e-08i
-1.55996e-08+-1.62879e-08i
2.02257e-08+4.28205e-08i
4.15058e-08+3.91564e-08i
-1.06539e-08+5.28197e-08i
1.63791e-08+5.08518e-08i
-5.29334e-08+4.98683e-09i
-3.6479e-08+-3.54053e-08i
1.40171e-08+-3.48904e-08i
9.97996e-09+3.9649e-08i
5.64861e-08+9.73758e-10i
1.60387e-08+3.09985e-08i
4.9003e-08+1.90004e-08i
-3.35973e-08+-5.5364e-08i
-7.50727e-09+-4.91387e-09i
-9.89386e-09+2.39891e-08i
2.48574e-08+-9.99943e-09i
-1.14739e-10+-6.13792e-09i
-5.98341e-10+1.86794e-09i
1.79228e-08+3.32392e-08i
5.92567e-09+1.83593e-08i
-4.50105e-08+-1.5564e-08i
-3.40137e-08+1.58816e-08i
7.1524e-09+1.23075e-08i
-8.7254e-09+-7.03357e-09i
2.51836e-08+-1.71913e-09i
-3.44667e-08+8.15505e-08i
-2.77755e-08+2.9922e-08i
4.11368e-08+2.24481e-08i
1.67682e-08+-1.14257e-08i
3.96732e-08+-4.06381e-08i
-1.17754e-08+4.32878e-08i
-6.37568e-09+2.32101e-08i
3.71405e-09+1.92537e-08i
-3.97499e-08+-5.38847e-09i
2.95771e-08+-6.42051e-08i
4.74844e-08+1.03067e-08i
9.95201e-09+-4.54494e-08i
-2.00675e-08+7.91959e-09i
2.68465e-08+-6.6175e-08i
1.72461e-08+-8.71737e-09i
-9.4487e-09+1.2288e-08i
-5.53451e-08+6.44182e-09i
-2.63374e-08+-5.89149e-09i
-1.30705e-09+-1.86877e-08i
9.22724e-09+-1.42035e-09i
-2.85969e-08+-6.7719e-09i
2.52254e-09+1.0176e-08i
-2.76177e-08+2.03764e-08i
8.94571e-09+4.94125e-09i
-1.47903e-08+-1.42304e-09i
-4.1469e-08+3.84889e-08i
-9.72209e-09+2.7013e-08i
2.70653e-08+-2.61315e-08i
-1.93681e-09+-3.57715e-08i
-1.6244e-08+-1.36736e-08i
-1.90016e-08+6.28947e-09i
-2.35995e-08+-9.04749e-09i
-4.09008e-08+-1.02338e-08i
3.50031e-09+2.04538e-08i
5.40011e-08+-2.21786e-08i
-2.46561e-08+9.84325e-09i
3.00552e-08+3.29897e-08i
3.58832e-09+-4.04049e-08i
-2.59828e-08+3.32503e-08i
5.31631e-09+1.1761e-08i
-1.29692e-08+5.83849e-08i
3.25278e-10+1.37545e-08i
-1.7455e-08+-4.29431e-09i
-3.34201e-08+-2.16907e-08i
-2.80282e-08+2.15267e-08i
1.62074e-08+-1.57827e-08i
6.64528e-09+-2.42426e-08i
-1.26612e-08+4.75581e-08i
1.26495e-08+-1.23975e-08i
1.16914e-08+-4.49838e-09i
-4.69919e-09+-4.26478e-08i
3.40305e-08+3.00883e-08i
-1.98785e-08+-2.33448e-08i
1.12798e-08+-2.69679e-08i
2.35848e-08+-6.68288e-10i
3.49325e-08+5.18066e-08i
1.72318e-08+-6.41511e-09i
2.96511e-08+1.16864e-08i
-3.65616e-08+8.51641e-09i
-4.95534e-09+3.97344e-09i
1.02207e-08+2.60425e-08i
2.41656e-08+4.40703e-10i
3.72722e-08+1.90007e-08i
-7.43326e-09+-1.14404e-08i
-1.24611e-08+-2.15311e-08i
-1.19141e-08+-3.40692e-08i
5.64782e-09+-2.53156e-08i
3.8592e-08+5.03715e-09i
-2.5163e-09+7.06441e-09i
1.59958e-08+2.28361e-08i
1.45408e-08+-3.07627e-08i
-5.24448e-08+-4.63582e-09i
4.17033e-08+-7.76588e-08i
2.38825e-08+-1.38733e-08i
-3.41198e-09+-1.41798e-08i
-2.56646e-09+-2.30551e-08i
5.19492e-08+-3.6449e-08i
1.61705e-08+6.85752e-08i
-2.75153e-08+-3.87486e-08i
4.94878e-09+-5.79422e-09i
-2.81951e-08+4.79452e-08i
-9.05313e-09+2.65227e-08i
-2.79669e-08+-2.42539e-08i
1.46957e-09+-2.83115e-08i
-3.07087e-08+-2.39092e-08i
1.75926e-08+5.03258e-09i
-5.00961e-08+2.03793e-08i
-1.44726e-08+-4.80979e-08i
2.13252e-08+-5.67638e-09i
-2.66626e-08+-1.80937e-08i
-1.4411e-08+5.60475e-08i
1.02427e-09+-1.7417e-08i
-1.12454e-08+-8.25884e-09i
-5.96954e-08+1.67996e-08i
1.56627e-08+-1.54303e-08i
-9.27619e-09+1.6787e-08i
-4.1082e-09+-2.73793e-08i
-1.83777e-09+2.84836e-08i
-7.40279e-08+-2.74574e-08i
4.73213e-08+4.60953e-08i
-1.99e-08+3.70744e-08i
3.27091e-08+9.19651e-08i
7.8413e-10+2.91173e-08i
-5.64324e-08+4.12511e-08i
-6.46497e-09+-3.4827e-08i
1.49668e-08+-4.41432e-08i
3.55149e-09+-3.19498e-08i
-4.41542e-08+-3.11818e-08i
3.12241e-08+3.66011e-08i
-2.69345e-08+2.15688e-08i
-2.76377e-08+-3.55224e-08i
8.01923e-08+1.74198e-08i
3.28312e-08+-1.82055e-08i
4.08358e-08+-8.62709e-09i
3.16508e-08+-2.78681e-08i
8.56619e-09+-2.62057e-09i
-5.75159e-08+3.00627e-08i
1.97404e-08+2.51564e-08i
9.57783e-09+-2.77965e-08i
-2.11283e-08+-2.85584e-09i
8.25207e-08+-1.23851e-08i
5.71622e-08+-3.61057e-08i
3.10169e-08+5.53643e-08i
-4.53582e-08+5.73628e-08i
-1.26538e-08+-1.6874e-08i
4.42074e-08+2.6446e-08i
5.22822e-08+-3.34547e-08i
7.20354e-08+8.39477e-09i
-5.02255e-08+-9.95768e-09i
2.06381e-08+3.45222e-08i
-4.81078e-08+2.93557e-09i
1.62281e-08+-4.65896e-08i
-2.88346e-08+5.92981e-09i
-1.80285e-09+-7.20464e-09i
-9.11035e-09+-2.54447e-08i
-1.791e-08+3.22699e-08i
1.94953e-08+5.00038e-08i
-4.84976e-08+3.09376e-09i
9.36069e-08+8.38946e-09i
8.04742e-08+2.89135e-08i
-4.81297e-08+2.47738e-08i
2.06013e-09+2.73279e-08i
-4.02401e-09+-3.3583e-08i
-3.79314e-08+9.99243e-10i
7.30651e-08+2.93478e-08i
-1.92828e-08+3.10583e-08i
-5.94912e-09+1.26454e-10i
-4.52367e-08+3.09811e-08i
-2.07175e-08+-2.80733e-08i
1.456e-08+1.63486e-08i
-2.17611e-08+-3.34275e-09i
-3.56406e-08+-4.966e-08i
1.50564e-08+8.01769e-08i
-3.02892e-08+-6.84339e-08i
7.90075e-09+-2.31147e-08i
7.1644e-08+-2.90356e-08i
-1.23119e-08+-2.01094e-08i
-6.06029e-08+-4.70207e-08i
4.15447e-08+1.25198e-09i
3.34192e-08+2.86887e-08i
-2.60328e-08+-4.27083e-08i
1.6158e-08+1.3939e-08i
9.85329e-08+-2.54007e-08i
2.45226e-08+-2.0789e-08i
3.37629e-08+2.66356e-08i
6.31937e-08+2.74764e-08i
-5.41323e-09+1.54143e-08i
-2.58816e-08+3.10403e-09i
5.47266e-09+5.36629e-08i
-1.67935e-08+-1.66809e-08i
-9.52456e-09+-2.15609e-08i
6.57807e-09+4.3524e-08i
-2.12045e-08+2.77543e-08i
4.30592e-08+-3.31259e-08i
-3.36809e-08+1.86283e-08i
-1.51933e-08+1.73148e-09i
2.69993e-09+-3.36133e-08i
3.50731e-08+7.61292e-08i
-1.33322e-08+-2.75435e-09i
-4.32296e-09+4.6427e-08i
1.00656e-08+-9.09738e-08i
-1.23798e-08+-4.8579e-09i
4.78522e-09+3.36057e-08i
3.82823e-08+-6.97192e-09i
3.8708e-08+2.482e-08i
8.67986e-09+-1.65144e-08i
3.52091e-08+5.95563e-08i
-1.56925e-09+-7.41557e-09i
8.3978e-09+3.42196e-08i
-3.90987e-09+3.0899e-08i
-5.08139e-08+-8.7984e-09i
2.51072e-08+-1.95646e-08i
2.19518e-08+4.07709e-11i
-4.5949e-08+-3.60483e-08i
3.89671e-08+-7.87795e-09i
4.80966e-08+-5.11058e-08i
-4.09974e-08+-1.43771e-08i
4.82627e-08+-2.24813e-08i
6.88737e-08+-4.22592e-08i
-1.44651e-08+-4.27377e-09i
1.52798e-09+-2.96348e-08i
5.34397e-08+3.64082e-08i
2.70831e-08+5.86162e-08i
-2.75443e-08+6.24302e-08i
4.97475e-08+5.24668e-08i
-3.90644e-08+1.22329e-08i
-7.81264e-08+-1.94864e-08i
2.42188e-08+-3.2437e-08i
-3.60995e-10+4.40203e-08i
1.58841e-08+-7.71575e-09i
8.24703e-09+7.65044e-09i
3.65572e-08+2.49709e-08i
-9.20931e-09+-7.83589e-08i
-6.39416e-08+-4.06422e-08i
3.18823e-09+2.76315e-08i
3.14035e-08+6.63973e-09i
-1.72087e-08+-1.42708e-08i
-2.444e-08+-1.22803e-08i
1.45652e-08+3.52564e-08i
1.10813e-08+5.07103e-08i
-4.28983e-08+-1.11597e-09i
-2.52494e-08+6.8705e-09i
8.77791e-10+-9.36506e-10i
5.13564e-10+-4.71661e-08i
2.40661e-08+1.7255e-09i
-6.05311e-08+4.95762e-08i
-4.59457e-08+4.15655e-08i
