x,y,z,nx,ny,nz,t1x,t1y,t1z,t2x,t2y,t2z
-1.0,-1.0,0.09510627451794396,-0.1355404303796826,-0.048635748642971446,1.0,0.9905796193684588,-0.006652219423151827,0.13677633446099255,0.0,1.0091183426070571,0.04907922606204878
-0.8571428571428572,-1.0,0.10030273292208323,-0.09758450108073627,-0.024716088231212,1.0,0.9951787652349466,-0.002423355742347501,0.09804770559474034,4.336808689942018e-19,1.0047467016675202,0.024833408128433675
-0.7142857142857143,-1.0,0.102339848074357,-0.08429313576935102,-0.004404943116854034,1.0,0.9964155991459188,-0.00037262316858208486,0.0845920500440443,-5.421010862427522e-20,1.003546128305289,0.004420563610323899
-0.5714285714285714,-1.0,0.10173312216010826,-0.09268051949744038,0.012297686700102466,1.0,0.9956581970573802,0.0011446394814287031,0.0930776258447994,0.0,1.0042846797742646,-0.012350378349576637
-0.4285714285714286,-1.0,0.09899805736468016,-0.119760837316918,0.025391801219657475,1.0,0.9926945298203281,0.003062654459870765,0.12061588043229328,-4.336808689942018e-19,1.0071395886546168,-0.025573088235565627
-0.2857142857142858,-1.0,0.09465015587341571,-0.16254827427969734,0.034877400441811,1.0,0.9863307489658291,0.005743521691913257,0.16467745930479175,-8.673617379884035e-19,1.013098785788588,-0.03533425203906109
-0.1428571428571429,-1.0,0.08920491987165802,-0.21805701543769213,0.040754484366563044,1.0,0.9747394537693761,0.009094761324416244,0.22315976918304542,-1.734723475976807e-18,1.0234010070031951,-0.0417081803406366
0.0,-1.0,0.08317785154475016,-0.2833012458428158,0.04302305299391362,1.0,0.955613481685602,0.012663877839984737,0.2943509806655578,0.0,1.0390034812232092,-0.04470110183352686
0.1428571428571428,-1.0,0.07708445307803517,-0.3552951505469819,0.04168310632386269,1.0,0.9262311210538893,0.015699069195863318,0.37662906103703536,-3.469446951953614e-18,1.0600455999954113,-0.044185993452751544
0.2857142857142856,-1.0,0.07144022665685613,-0.43105291460210415,0.03673464435641031,1.0,0.8836531982118986,0.017185442130403752,0.46782655532650724,0.0,1.085311198413652,-0.03986852088975497
0.4285714285714284,-1.0,0.0667606744665561,-0.5075887230600961,0.02817766709155644,1.0,0.825377733122565,0.015902260978428784,0.5643569045925014,0.0,1.1118389336748213,-0.031329027332520215
0.5714285714285714,-1.0,0.06356129869247817,-0.5819167609728713,0.016012174529301083,1.0,0.7507229643642476,0.010576561473100612,0.6605324875610303,1.734723475976807e-18,1.1350978900431157,-0.018175385523211778
0.7142857142857142,-1.0,0.0623576015199654,-0.6510512133923432,0.00023816666964424776,1.0,0.6627044677113013,0.0001783584944458554,0.7488810030063043,0.0,1.1502643534050307,-0.00027395463026097023
0.857142857142857,-1.0,0.06366508513436084,-0.7120062653704254,-0.01914435648741406,1.0,0.5692328782259876,-0.01573715328590162,0.8220257127079506,0.0,1.1545203359696377,0.02210254888377179
1.0,-1.0,0.06799925172100758,-0.7617961019590316,-0.04213539494187388,1.0,0.4821896079490871,-0.036880699752172445,0.8752902352772455,0.0,1.1489822972660964,0.048412822876528504
-1.0,-0.8571428571428572,0.11045963658900283,-0.08059366706300286,-0.003648502703155876,1.0,0.9967258332831954,-0.00029499957813079226,0.08085497041721361,0.0,1.0032422318493892,0.003660331994822631
-0.8571428571428572,-0.8571428571428572,0.11095718896429092,-0.05257903542736976,-0.003454664758068826,1.0,0.9986129226753911,-0.00018189384342818073,0.052651662655064754,0.0,1.0013812963114417,0.003459436673756414
-0.7142857142857143,-0.8571428571428572,0.11148595057907716,-0.04462203903018101,-0.004085432056129711,1.0,0.9990019398535674,-0.0001824817061276173,0.044666440077941065,0.0,1.0009950474860645,0.004089497255026651
-0.5714285714285714,-0.8571428571428572,0.11216372218238264,-0.05413940704464719,-0.005540804597338525,1.0,0.9985290398841388,-0.00030041516239247246,0.054218689202065386,-5.421010862427522e-20,1.0014644075682766,0.005548918593525209
-0.4285714285714286,-0.8571428571428572,0.11310830452322855,-0.07854786864397877,-0.00782078238169527,1.0,0.9968910624605968,-0.0006161977458175669,0.078789782881543,-1.0842021724855044e-19,1.003079831976864,0.007844869077358508
-0.2857142857142858,-0.8571428571428572,0.11443749835063595,-0.11526415300138625,-0.010925365409199935,1.0,0.9932452407056046,-0.00126763832241836,0.11602708696140435,0.0,1.006619004609429,0.010997680453203127
-0.1428571428571429,-0.8571428571428572,0.11626910441362603,-0.16170498929008023,-0.014854553679852535,1.0,0.986489974698028,-0.002433228908672104,0.16380356900068502,0.0,1.0129778290689606,0.015047333538405362
0.0,-0.8571428571428572,0.11872092346121992,-0.21528710668327125,-0.019608347193653078,1.0,0.9754436748094696,-0.004317889533900353,0.22020670540238022,8.673617379884035e-19,1.0228513392878036,0.020056424188248295
0.1428571428571428,-0.8571428571428572,0.12191075624243873,-0.2734272343541696,-0.025186745950601542,1.0,0.9589759275357344,-0.007137864314684825,0.28339763813412944,-8.673617379884035e-19,1.0364645599532532,0.026105169558344604
0.2857142857142856,-0.8571428571428572,0.1259564035063036,-0.33354210147598595,-0.03158974995069792,1.0,0.9361810947926666,-0.011098831674449118,0.35134281505143433,0.0,1.0533687156634106,0.03327565433369496
0.4285714285714284,-0.8571428571428572,0.1309756660018357,-0.39304843722193106,-0.03881735919394224,1.0,0.906687229927331,-0.01636097977648089,0.4214861627947672,0.0,1.0723517075244826,0.041625861413215136
0.5714285714285714,-0.8571428571428572,0.137086344478056,-0.44936297076521514,-0.04686957368033451,1.0,0.8711366365713222,-0.022989630394187475,0.49050222967642315,0.0,1.0915501756656816,0.05116049138414474
