Ex_Re,Ex_Im,Ey_Re,Ey_Im,Ez_Re,Ez_Im,Hx_Re,Hx_Im,Hy_Re,Hy_Im,Hz_Re,Hz_Im
0.00657759,-0.00834922,-0.0061279,0.0067142,-0.00265982,0.0022192,0.00371417,-0.00428276,0.00663603,-0.00765192,-0.00610364,0.00703803
-0.00199969,0.00636355,0.00779368,-0.00558462,0.000806888,-0.00334119,-0.00151375,-0.00129999,-0.000108724,-9.33705e-05,-0.00270134,-0.00231988
-0.0154204,0.0298117,0.0191335,-0.0115621,0.010344,-0.0010378,0.00802803,-0.00655665,0.0235321,-0.0192192,-0.0315602,0.0257758
0.00527071,0.00765061,-0.000572979,-0.00706574,0.00986637,-0.00173742,0.00604364,0.00519021,0.00723447,0.00621288,-0.00280843,-0.00241185
0.00352669,-0.000417045,-0.00254517,0.000189793,-0.00100066,3.543e-05,0.000894714,-8.92462e-05,0.00262263,-0.000261603,-0.00351734,0.000350849
