Ex_Re,Ex_Im,Ey_Re,Ey_Im,Ez_Re,Ez_Im,Hx_Re,Hx_Im,Hy_Re,Hy_Im,Hz_Re,Hz_Im
-0.683768,0.180169,0.683768,-0.180169,0,0,-0.0482293,0.0127082,-0.0482293,0.0127082,0.964586,-0.254164
0.703289,-0.0733812,-0.703289,0.0733812,0,0,0.0496062,-0.00517591,0.0496062,-0.00517591,-0.992123,0.103518
-0.707084,-0.00565287,0.707084,0.00565287,0,0,-0.0498739,-0.000398723,-0.0498739,-0.000398723,0.997477,0.00797446
0.702966,0.0764103,-0.702966,-0.0764103,0,0,0.0495834,0.00538957,0.0495834,0.00538957,-0.991668,-0.107791
0.674365,-0.212678,-0.674365,0.212678,0,0,0.047566,-0.0150012,0.047566,-0.0150012,-0.951321,0.300023
0.300369,0.64014,-0.300369,-0.64014,0,0,0.0211864,0.045152,0.0211864,0.045152,-0.423727,-0.903039
-0.486355,-0.513283,0.486355,0.513283,0,0,-0.0343048,-0.0362042,-0.0343048,-0.0362042,0.686096,0.724083
0.550565,-0.44371,-0.550565,0.44371,0,0,0.0388338,-0.0312969,0.0388338,-0.0312969,-0.776677,0.625938
0.0836795,0.702138,-0.0836795,-0.702138,0,0,0.00590229,0.049525,0.00590229,0.049525,-0.118046,-0.9905
-0.611714,0.354692,0.611714,-0.354692,0,0,-0.0431469,0.0250181,-0.0431469,0.0250181,0.862939,-0.500361
-0.70633,-0.0331267,0.70633,0.0331267,0,0,-0.0498207,-0.00233657,-0.0498207,-0.00233657,0.996414,0.0467315
-0.694546,0.132685,0.694546,-0.132685,0,0,-0.0489895,0.00935891,-0.0489895,0.00935891,0.97979,-0.187178
-0.534669,0.46274,0.534669,-0.46274,0,0,-0.0377127,0.0326392,-0.0377127,0.0326392,0.754253,-0.652784
0.700369,0.097379,-0.700369,-0.097379,0,0,0.0494003,0.00686859,0.0494003,0.00686859,-0.988005,-0.137372
-0.57773,0.407711,0.57773,-0.407711,0,0,-0.0407499,0.0287577,-0.0407499,0.0287577,0.814998,-0.575155
