-48696.3+-57280.3i
155061+-470122i
0+0i
321118+-315461i
-48237+13586.1i
-2.15659e+06+1.37715e+06i
0+0i
666331+13446i
0+0i
-556406+-940987i
125972+-11787.3i
-729074+-1.2752e+06i
0+0i
1.22989e+06+-1.37127e+06i
29349+-38655.9i
662783+2.33819e+06i
0+0i
-686110+-362180i
0+0i
813320+167672i
4728.02+-176162i
1.86254e+06+2.5016e+06i
0+0i
1.49587e+06+338381i
-52392.6+21894.1i
-1.10206e+06+469005i
0+0i
-625423+-636740i
0+0i
-610987+1.79402e+06i
-179185+-635638i
-484227+-731571i
0+0i
1.21791e+06+-1.38753e+06i
5443.35+17173.1i
674518+2.33562e+06i
0+0i
-689402+-364507i
0+0i
805537+153195i
-2.80442e+06+1.42749e+06i
2.56101e+06+-1.75932e+06i
0+0i
333097+-299196i
39050.5+14589.9i
-2.16832e+06+1.37972e+06i
0+0i
669623+15773.2i
0+0i
-548623+-926510i
0+0i
-2831.58+498151i
-58914.7+23884.9i
-338792+356037i
0+0i
2.19238e+06+-1.38583e+06i
8017.89+25148.5i
-760663+23595.5i
58819.4+-24354.5i
598872+1.00498e+06i
0+0i
556308+1.33926e+06i
-43359.5+9546.77i
-1.1889e+06+1.42019e+06i
0+0i
-667078+-2.39721e+06i
3340.14+-17245i
768091+402412i
-1897.44+-32380i
-947654+-211766i
0+0i
-888933+-2.31113e+06i
-44773.8+10586i
-325769+76805.9i
0+0i
2.28421e+06+-1.99809e+06i
13163.7+19972.5i
-1e+06+381808i
55397.6+-43748.4i
235594+-2.41054e+06i
0+0i
569063+1.34284e+06i
-80670.6+-117826i
-1.16428e+06+1.50582e+06i
0+0i
-675195+-2.39852e+06i
-24602.7+-18228.2i
783111+406682i
-32232+-95562.7i
-915082+-140447i
2.89195e+06+-1.47331e+06i
-2.52009e+06+1.77049e+06i
-104857+72556.2i
-321786+309763i
0+0i
2.2005e+06+-1.38451e+06i
-45139.3+17398.7i
-735132+23692.1i
16918.8+-88369.5i
628858+1.04382e+06i
