-2.69614e-06+-0.929487i
-1.66918e-06+-0.496964i
2.41815e-22+4.26517e-17i
2.1652e-06+0.17935i
3.80778e-06+0.217684i
-3.41088e-06+-1.17589i
-2.11167e-06+-0.628707i
3.05919e-22+5.39584e-17i
2.73919e-06+0.226895i
4.8172e-06+0.275391i
-7.14734e-07+-0.246402i
-4.42491e-07+-0.131743i
6.41039e-23+1.13067e-17i
5.73984e-07+0.0475448i
1.00942e-06+0.0577069i
2.69614e-06+0.929487i
1.66918e-06+0.496964i
-2.41815e-22+-4.26517e-17i
-2.1652e-06+-0.17935i
-3.80778e-06+-0.217684i
3.41088e-06+1.17589i
2.11167e-06+0.628707i
-3.05919e-22+-5.39584e-17i
-2.73919e-06+-0.226895i
-4.8172e-06+-0.275391i
-2.75041e-06+-0.948195i
-2.94929e-06+-0.878091i
3.48889e-06+0.615375i
-3.82572e-06+-0.316896i
-3.88441e-06+-0.222065i
1.32094e-06+0.45539i
1.41646e-06+0.421722i
-1.67561e-06+-0.295547i
1.83738e-06+0.152196i
1.86557e-06+0.106651i
4.07135e-06+1.40358i
4.36575e-06+1.29981i
-5.1645e-06+-0.910922i
5.6631e-06+0.469092i
5.74999e-06+0.328717i
2.75041e-06+0.948195i
2.94929e-06+0.878091i
-3.48889e-06+-0.615375i
3.82572e-06+0.316896i
3.88441e-06+0.222065i
-1.32094e-06+-0.45539i
-1.41646e-06+-0.421722i
1.67561e-06+0.295547i
-1.83738e-06+-0.152196i
-1.86557e-06+-0.106651i
0.0021233+6.48128e-09i
0.00131454+3.46531e-09i
-1.90437e-19+-2.97409e-25i
-0.00170517+-1.2506e-09i
-0.00299875+-1.5179e-09i
-0.00101976+-3.11277e-09i
-0.000631333+-1.66429e-09i
9.14615e-20+1.42837e-25i
0.000818943+6.00629e-10i
0.00144021+7.29005e-10i
-0.00314306+-9.59406e-09i
-0.00194587+-5.1296e-09i
2.81899e-19+4.40246e-25i
0.00252411+1.85123e-09i
0.00443896+2.24691e-09i
-0.0021233+-6.48128e-09i
-0.00131454+-3.46531e-09i
1.90437e-19+2.97409e-25i
0.00170517+1.2506e-09i
0.00299875+1.5179e-09i
0.00101976+3.11277e-09i
0.000631333+1.66429e-09i
-9.14615e-20+-1.42837e-25i
-0.000818943+-6.00629e-10i
-0.00144021+-7.29005e-10i
-0.00277522+-8.47122e-09i
-0.0029759+-7.84491e-09i
0.00352036+5.49779e-09i
-0.00386023+-2.83117e-09i
-0.00391945+-1.98394e-09i
-0.00351091+-1.07169e-08i
-0.00376479+-9.92455e-09i
0.00445359+6.95523e-09i
-0.00488355+-3.58169e-09i
-0.00495848+-2.50987e-09i
-0.000735695+-2.24567e-09i
-0.000788894+-2.07964e-09i
0.000933228+1.45744e-09i
-0.00102333+-7.50527e-10i
-0.00103903+-5.25933e-10i
0.00277522+8.47122e-09i
0.0029759+7.84491e-09i
-0.00352036+-5.49779e-09i
0.00386023+2.83117e-09i
0.00391945+1.98394e-09i
0.00351091+1.07169e-08i
0.00376479+9.92455e-09i
-0.00445359+-6.95523e-09i
0.00488355+3.58169e-09i
0.00495848+2.50987e-09i
