x,y,z
-10.0,-10.0,1.463795100766191e-23
-8.947368421052632,-10.0,4.938927377107518e-19
-7.894736842105264,-10.0,1.0499194189909866e-15
-6.842105263157895,-10.0,1.4062102965502008e-13
-5.7894736842105265,-10.0,1.18663063419627e-12
-4.736842105263158,-10.0,6.308873441903045e-13
-3.6842105263157894,-10.0,2.1132897761462724e-14
-2.6315789473684212,-10.0,4.460024718340096e-17
-1.578947368421053,-10.0,5.93043371977165e-21
-0.526315789473685,-10.0,4.9682864151128084e-26
0.5263157894736832,-10.0,2.622392954521656e-32
1.5789473684210513,-10.0,8.720871585711109e-40
2.6315789473684212,-10.0,1.8272290484924613e-48
3.6842105263157894,-10.0,2.412109767165314e-58
4.7368421052631575,-10.0,2.0061902744780288e-69
5.789473684210526,-10.0,1.0512793925957963e-81
6.842105263157894,-10.0,3.616288945049119e-95
7.894736842105264,-10.0,3.625252632852483e-102
8.94736842105263,-10.0,8.517194217101396e-109
10.0,-10.0,1.8861313594919247e-116
-10.0,-8.947368421052632,4.933924038463872e-19
-8.947368421052632,-8.947368421052632,1.6647338481583294e-14
-7.894736842105264,-8.947368421052632,3.5388987550909264e-11
-6.842105263157895,-8.947368421052632,4.739826483674395e-09
-5.7894736842105265,-8.947368421052632,3.999702832571349e-08
-4.736842105263158,-8.947368421052632,2.126493135162069e-08
-3.6842105263157894,-8.947368421052632,7.12313575944496e-10
-2.6315789473684212,-8.947368421052632,1.503313076976622e-12
-1.578947368421053,-8.947368421052632,1.9989347876067087e-16
-0.526315789473685,-8.947368421052632,1.6746297183716303e-21
0.5263157894736832,-8.947368421052632,8.839138503633559e-28
1.5789473684210513,-8.947368421052632,2.939490501817745e-35
2.6315789473684212,-8.947368421052632,6.158928473949287e-44
3.6842105263157894,-8.947368421052632,8.130349908536463e-54
4.7368421052631575,-8.947368421052632,6.762142062016717e-65
5.789473684210526,-8.947368421052632,3.559905626706547e-77
6.842105263157894,-8.947368421052632,4.342840146119013e-84
7.894736842105264,-8.947368421052632,1.0824676015939807e-89
8.94736842105263,-8.947368421052632,2.5431571020890635e-96
10.0,-8.947368421052632,5.631817521236901e-104
-10.0,-7.894736842105264,1.0477932724837302e-15
-8.947368421052632,-7.894736842105264,3.535313703612077e-11
-7.894736842105264,-7.894736842105264,7.515385884902598e-08
-6.842105263157895,-7.894736842105264,1.0065737258250256e-05
-5.7894736842105265,-7.894736842105264,8.493972925467143e-05
-4.736842105263158,-7.894736842105264,4.515929275837306e-05
-3.6842105263157894,-7.894736842105264,1.5127054388252013e-06
-2.6315789473684212,-7.894736842105264,3.192512321254393e-09
-1.578947368421053,-7.894736842105264,4.2450398633216253e-13
-0.526315789473685,-7.894736842105264,3.55632907829972e-18
0.5263157894736832,-7.894736842105264,1.8771245334256472e-24
1.5789473684210513,-7.894736842105264,6.242451947625399e-32
2.6315789473684212,-7.894736842105264,1.3079414620906315e-40
3.6842105263157894,-7.894736842105264,1.7266025724593055e-50
4.7368421052631575,-7.894736842105264,1.437690517815667e-61
5.789473684210526,-7.894736842105264,4.6221506711002146e-68
6.842105263157894,-7.894736842105264,1.222270889416414e-72
7.894736842105264,-7.894736842105264,3.0465523714062795e-78
8.94736842105263,-7.894736842105264,7.157591865861737e-85
