type,x,y,z,test_index
int,-0.8814778015656958,-0.8821783867529716,-0.044319959297689254,0
int,-0.4554172393598205,-0.8945696593342781,-0.02294484654289755,2
int,-0.03500617170383359,-0.9062399295445509,-0.042142483527819366,4
int,0.38083069265906677,-0.9074467897320446,-0.08229235833398106,6
int,0.7960979063165263,-0.9025319142563955,-0.11460079468624122,8
int,-0.669359267669137,-0.7808119804362358,-0.0170204400690476,10
int,-0.24466558895264365,-0.7961938209956837,-0.013818472296981202,12
int,0.17404539635487098,-0.8041155783027003,-0.049539028581650796,14
int,0.5892845076881447,-0.8014524353847116,-0.09281904264455897,16
int,-0.8851148090159637,-0.6683163801911991,-0.026674744976905487,18
int,-0.45731896195263244,-0.6821385430437444,0.0031350943130166453,20
int,-0.034067493661872346,-0.6968914664102442,-0.014487301195042823,22
int,0.38288926405451024,-0.699885412529425,-0.06144202707359589,24
int,0.797705923432526,-0.6947047176202797,-0.1031146563271099,26
int,-0.672578714438483,-0.5668185983589118,0.0028839446953609904,28
int,-0.24449836256461643,-0.5844766968576602,0.013995429667895437,30
int,0.1763146069822298,-0.5956700074335748,-0.022935670878138803,32
int,0.59129600975034,-0.5940999684489965,-0.07518587521497327,34
int,-0.8888404170674941,-0.45418468492454633,-0.0148735699588423,36
int,-0.45784827245320336,-0.46793254469001816,0.026962632045044038,38
int,-0.031202738677513553,-0.4864177531081147,0.015814992973645886,40
int,0.38570346798651717,-0.4924602021555504,-0.036744714791723254,42
int,0.7991650638564565,-0.48734260852594946,-0.08914721686452015,44
int,-0.6736813427420416,-0.3512176857644677,0.019456526091139847,46
int,-0.24088133375468943,-0.3709423788667072,0.044644176707119426,48
int,0.18079160464374533,-0.38721747264954115,0.009127602223786724,50
int,0.5935461074921977,-0.3874388222763279,-0.054025798004212464,52
int,-0.8902606057422633,-0.2389865275531795,-0.006894639753012272,54
int,-0.4540955906784741,-0.2512836508968669,0.05376989497269011,56
int,-0.024457265907251117,-0.27541329488719557,0.05424060748262238,58
int,0.3897551560811905,-0.28615213559592945,-0.0060958988005352654,60
int,0.8002264167367797,-0.28074194490680765,-0.07300367263043353,62
int,-0.6707964648855982,-0.1330764658826981,0.038397075425281535,64
int,-0.23266971551339982,-0.15579219515867188,0.08588505769527557,66
int,0.18758621982054524,-0.18006462806587925,0.051382875877602596,68
int,0.5956872572024847,-0.18227315862552526,-0.028817422025801523,70
int,-0.8887031949370418,-0.021777969907189738,0.0021201130044078698,72
