-0.00230246+-0.0232658i,0.00449886+-0.0162593i,0.000280997+0.000728292i
-0.00745938+-0.02171i,-0.000641471+-0.0132144i,0.000166389+0.00100463i
-0.0123675+-0.0190009i,-0.00492798+-0.00904727i,0.000191922+0.00129585i
-0.0166769+-0.0150952i,-0.00787429+-0.00392331i,0.000371921+0.00155911i
0.0297423+-0.0338535i,0.0161842+-0.0182759i,0.00507051+-0.00362023i
0.0338078+-0.0287014i,0.0201422+-0.0189764i,0.00531361+-0.00257477i
0.0362883+-0.0238238i,0.0242554+-0.0188977i,0.00530643+-0.0016449i
0.0374602+-0.0195733i,0.0281408+-0.0181349i,0.00511221+-0.000864853i
0.0376099+-0.0161672i,0.0314969+-0.0168994i,0.0047885+-0.000247001i
0.036995+-0.01371i,0.0341202+-0.0154576i,0.00438349+0.000212414i
0.0358202+-0.0122203i,0.0358974+-0.0140763i,0.00393467+0.000528138i
0.0342276+-0.0116533i,0.0367834+-0.0129826i,0.00346917+0.000721683i
0.0322959+-0.0119201i,0.0367752+-0.0123371i,0.00300514+0.000818144i
0.0300474+-0.0128987i,0.0358889+-0.0122198i,0.0025538+0.000843922i
0.0274599+-0.0144411i,0.0341448+-0.0126245i,0.00212177+0.000825177i
0.0244815+-0.0163745i,0.0315625+-0.0134599i,0.00171333+0.000786723i
0.0210493+-0.0185011i,0.028167+-0.0145559i,0.00133269+0.000751117i
0.0171089+-0.0205979i,0.0240044+-0.0156745i,0.000985743+0.0007377i
0.0126358+-0.0224189i,0.0191636+-0.0165275i,0.000681455+0.000761409i
0.00765685+-0.023703i,0.0138014+-0.0168028i,0.000432419+0.000831298i
0.00226857+-0.0241879i,0.00816305+-0.016201i,0.000254525+0.00094881i
-0.00334883+-0.0236331i,0.00259313+-0.0144814i,0.000165465+0.00110602i
-0.00892693+-0.0218487i,-0.00247184+-0.0115152i,0.000181965+0.00128424i
-0.0141166+-0.0187297i,-0.00653525+-0.00733844i,0.000315747+0.00145353i
0.034814+-0.0286817i,0.017862+-0.0133343i,0.00523913+-0.00250332i
0.0382063+-0.0230641i,0.021381+-0.0135678i,0.00528796+-0.0014473i
0.0400905+-0.0178953i,0.0250448+-0.013102i,0.00510622+-0.000540114i
0.0407681+-0.0134963i,0.0285049+-0.0120419i,0.00476277+0.000191799i
0.0405399+-0.0100579i,0.0314956+-0.0106015i,0.00431886+0.000744056i
0.0396694+-0.00766467i,0.0338468+-0.00904388i,0.0038245+0.00112807i
0.0383614+-0.00632113i,0.0354722+-0.00763021i,0.00331733+0.00136532i
0.0367522+-0.00597518i,0.036346+-0.00658288i,0.00282331+0.00148267i
0.0349101+-0.00653559i,0.0364743+-0.00606216i,0.00235849+0.00150884i
0.0328415+-0.00788297i,0.0358724+-0.00615393i,0.00193138+0.00147195i
0.0305033+-0.00987459i,0.0345478+-0.00686493i,0.00154548+0.00139799i
0.0278177+-0.0123443i,0.0324954+-0.00812263i,0.00120165+0.00130986i
0.0246903+-0.0151001i,0.0297019+-0.00977832i,0.000900155+0.00122677i
0.0210308+-0.0179209i,0.0261613+-0.0116135i,0.000642244+0.00116383i
0.0167759+-0.0205566i,0.0218974+-0.0133511i,0.000431147+0.00113147i
0.0119118+-0.0227332i,0.0169915+-0.0146749i,0.000272437+0.00113499i
0.00649664+-0.0241656i,0.0116086+-0.015258i,0.000173723+0.00117385i
0.000677003+-0.0245788i,0.00601748+-0.014804i,0.000143666+0.00124115i
-0.0053033+-0.023738i,0.000595525+-0.0130973i,0.000190356+0.00132326i
-0.0111073+-0.0214841i,-0.00418881+-0.0100593i,0.000319144+0.00139988i
0.0377076+-0.0233576i,0.0181723+-0.00877686i,0.00508166+-0.00159119i
0.0404946+-0.0175488i,0.0211949+-0.00872885i,0.00498416+-0.00057343i
0.0418808+-0.0122976i,0.0243827+-0.00805418i,0.0046771+0.000277749i
0.0421753+-0.00789628i,0.0274172+-0.00685393i,0.00423132+0.000941809i
0.041681+-0.00451482i,0.0300616+-0.00533278i,0.00370916+0.00142022i
0.0406601+-0.0022241i,0.0321708+-0.00374168i,0.00316077+0.0017299i
0.0393133+-0.00102143i,0.0336782+-0.00233032i,0.00262303+0.00189717i
0.0377708+-0.000853014i,0.0345714+-0.00131335i,0.00212048+0.00195266i
0.0360918+-0.00163077i,0.0348638+-0.000849767i,0.00166737+0.00192749i
0.0342709+-0.00324248i,0.0345711+-0.00103236i,0.00127028+0.00185071i
0.0322489+-0.00555544i,0.0336938+-0.00188358i,0.000930817+0.00174767i
0.0299278+-0.00841501i,0.0322109+-0.00335463i,0.000648+0.00163908i
0.0271882+-0.0116401i,0.0300826+-0.00532624i,0.000420118+0.00154067i
0.0239102+-0.015018i,0.027264+-0.00761114i,0.000245964+0.00146291i
0.0199963+-0.018302i,0.0237262+-0.00995987i,0.000125386+0.00141107i
0.0153968+-0.0212141i,0.0194845+-0.0120728i,5.9195e-05+0.00138534i
0.0101329+-0.0234557i,0.0146273+-0.0136212i,4.85737e-05+0.00138115i
