0.00311409+0.0011595i
-0.00347681+0.000224742i
0.000424906+0.00108406i
-0.00148314+-0.00557164i
0.00556491+-0.00132924i
0.00886347+0.000106467i
-0.0045559+-0.00499853i
0.00286294+-0.00415382i
0.00683544+-0.00153781i
0.00501751+0.00922418i
-0.0279483+-0.0156332i
0.014217+0.00119303i
0.0101186+0.0149288i
-0.00469597+0.00643275i
-0.000420301+0.00561529i
-0.00148172+-0.00511527i
0.00772179+-0.00245687i
-0.000521953+0.00255367i
0.00101585+-0.00700151i
-0.024494+-0.0210214i
0.0295112+0.00986595i
-0.023904+0.00693459i
-0.0233869+-0.005786i
0.000597364+-0.00483921i
-0.00312925+0.000866488i
0.00381767+0.00326114i
0.0022818+-0.00674168i
0.0111984+-0.00131324i
-0.00727072+0.00375666i
0.0277885+0.0356623i
-0.00158007+-0.0127684i
0.0105404+-0.000393501i
0.009163+0.01455i
0.00236638+0.0061431i
-0.00642801+0.00601681i
0.00314264+0.000841002i
-0.00210116+-2.53908e-05i
-0.00107339+-2.50814e-05i
0.00177636+-0.00496128i
-0.00603631+-0.019183i
0.00148517+0.00654682i
-0.00463247+-0.00114672i
-0.00648352+-0.00653123i
0.00373106+-0.0128802i
0.00334319+-0.000762443i
0.00200204+-0.00289281i
0.00406599+-0.00376462i
0.00545495+0.00456957i
0.00142812+-0.00442698i
-0.00719827+0.00476697i
0.00292889+-0.00647473i
0.00590605+0.00277688i
0.00163212+0.00124303i
-0.00629648+-0.00126898i
0.00146686+-0.000155427i
0.00242767+-0.00260535i
-0.00216834+0.00397288i
0.00272225+0.0036363i
-0.00263472+-0.00351124i
0.00578622+0.00166809i
-0.014016+-0.0102739i
-0.00226792+-0.00755123i
0.000403679+-0.00581387i
0.00117969+-0.00436163i
0.000382055+-0.00533215i
0.0045878+0.00283638i
-0.00668753+0.0024929i
0.00204346+0.00660459i
0.00258079+0.00516358i
-0.0343192+0.00832007i
0.0465619+0.0113944i
-0.0152532+0.0120955i
0.000358472+0.00580654i
-0.00810997+-0.00849318i
-0.000800073+0.00679163i
0.00388866+0.00764791i
-0.00185311+-0.00770502i
0.0071653+-0.00425572i
-0.020327+-0.00107644i
0.0353607+-0.0406689i
-0.0469283+-0.0105631i
0.0103728+-0.0128757i
0.00308093+-0.00266212i
-6.73576e-08+-5.90005e-05i
-0.00141768+-0.00236205i
-0.0042066+-0.00095457i
0.000510842+-0.00552297i
0.00316741+0.0115417i
0.015623+0.00925757i
-0.00280751+0.0206042i
0.0159636+-0.00313088i
0.00355432+0.00137017i
-0.00553973+-0.000234404i
-0.00594325+0.00027271i
0.00267244+-0.00679894i
0.00184591+0.000293303i
0.00503094+-0.000285064i
0.000343381+-0.00237319i
-0.00393052+-0.00461398i
-0.0110036+-0.00189444i
-0.00140426+0.00872696i
-0.00137073+0.00585623i
-0.00834517+-0.00280146i
0.00385621+-0.00543507i
-0.00106929+-0.00588843i
0.00349576+-0.00584431i
-0.00587697+0.00302885i
0.000661327+-0.00975323i
-0.00376462+-0.0022796i
-0.00754729+0.00326774i
0.00713202+-0.0163289i
0.0151158+0.00148348i
0.00794499+0.000961562i
-0.00873906+0.00385154i
0.00938679+0.00255911i
-0.00730319+0.00951421i
-0.00316706+-0.00153866i
-0.00265305+0.00945842i
-0.00199858+0.0176683i
0.0114342+-0.0106395i
-0.0229335+0.0341163i
-0.0272455+-0.010461i
0.003303+-0.0106106i
0.00142466+-0.00388408i
2.27733e-05+-0.0031615i
0.00211968+-0.00104642i
-0.00298346+-0.00215678i
0.00382649+-0.000303489i
0.00437901+-0.00890775i
0.00375524+-0.00244763i
0.00362533+-0.0250566i
0.0194075+0.00546509i
0.00747449+0.00729068i
0.0010417+-0.00232112i
0.00433844+0.00352721i
0.0046271+0.00144016i
-0.00332024+0.00883739i
0.00180487+0.00200479i
-0.00406407+0.00207838i
-0.00301004+-0.00237819i
-0.000369219+-0.00340693i
-0.000682767+0.00270572i
-0.00571776+-0.00699488i
0.00768284+0.00574099i
-0.00601021+-0.00547227i
0.00393799+-0.000596938i
0.00121722+-0.000635556i
-0.00135314+-0.00495235i
-0.000433621+0.00324545i
0.00270391+-0.00156062i
0.00144038+0.0055143i
-0.000258425+-0.00394799i
0.00759585+-0.00239571i
0.00385211+0.00395875i
0.00372808+0.00738555i
-1.01429e-05+-0.000246555i
0.00638087+0.0106306i
1.73747e-05+0.000939202i
0.00801244+0.00956033i
0.0153249+0.00413977i
-0.0160389+-0.00254809i
-0.00149485+-0.00222251i
0.00137444+-0.000910443i
-0.00475845+-0.00186878i
0.00437876+-0.00116379i
0.0010862+0.000542565i
0.00140097+-0.00930764i
0.0041042+0.000318124i
-0.0136018+-0.00996631i
-0.0142918+-0.0233915i
0.018443+0.000939681i
-0.0105778+0.00558599i
-0.00758382+-7.59904e-05i
0.017528+-0.00984983i
-0.00645096+0.00479907i
-0.00395837+0.00499577i
0.00723506+-0.00195113i
-0.00570968+0.00321697i
-0.00105492+-0.00444902i
0.0423038+0.0275742i
-0.00432546+0.0224088i
0.000375784+-0.00972663i
-0.00247552+0.00642144i
-0.0021529+0.0055567i
