px,py,pz,nx,ny,nz,t1x,t1y,t1z,t2x,t2y,t2z
0.23700850875641427,0.15231611983460613,0.9594929736144974,0.2370085087564143,0.15231611983460616,0.9594929736144975,0.8071768537798912,0.5187410655978439,-0.28173255684142967,-0.5406408174555976,0.8412535328311812,0.0
0.45481599767725917,0.2922924934990568,0.8412535328311812,0.45481599767725917,0.2922924934990568,0.8412535328311812,0.7077075065009433,0.45481599767725917,-0.5406408174555976,-0.5406408174555976,0.8412535328311812,0.0
0.6357769993611813,0.4085890676706061,0.6548607339452851,0.6357769993611813,0.4085890676706061,0.6548607339452851,0.5509039059438913,0.35404444251975153,-0.7557495743542583,-0.5406408174555974,0.8412535328311811,0.0
0.7652311296682651,0.49178418555223313,0.41541501300188644,0.7652311296682652,0.4917841855522332,0.4154150130018865,0.349469347278948,0.22459031221266756,-0.9096319953545183,-0.5406408174555976,0.8412535328311812,0.0
0.8326907848543883,0.5351378734735857,0.14231483827328512,0.8326907848543884,0.5351378734735858,0.14231483827328514,0.11972286047169932,0.07694121050013004,-0.9898214418809328,-0.5406408174555976,0.8412535328311812,0.0
0.8326907848543884,0.5351378734735858,-0.142314838273285,0.8326907848543884,0.5351378734735858,-0.142314838273285,-0.11972286047169921,-0.07694121050012996,-0.9898214418809328,-0.5406408174555976,0.8412535328311812,0.0
0.7652311296682652,0.4917841855522332,-0.4154150130018863,0.7652311296682652,0.4917841855522332,-0.4154150130018863,-0.34946934727894796,-0.2245903122126675,-0.9096319953545184,-0.5406408174555976,0.8412535328311812,0.0
0.6357769993611813,0.4085890676706061,-0.654860733945285,0.6357769993611813,0.4085890676706061,-0.654860733945285,-0.5509039059438913,-0.3540444425197515,-0.7557495743542583,-0.5406408174555974,0.8412535328311811,0.0
0.4548159976772594,0.2922924934990569,-0.8412535328311811,0.4548159976772594,0.2922924934990569,-0.8412535328311811,-0.7077075065009432,-0.4548159976772591,-0.5406408174555978,-0.5406408174555974,0.8412535328311811,0.0
0.23700850875641427,0.15231611983460613,-0.9594929736144974,0.2370085087564143,0.15231611983460616,-0.9594929736144975,-0.8071768537798912,-0.5187410655978439,-0.28173255684142967,-0.5406408174555976,0.8412535328311812,0.0
0.11703593376333722,0.2562729478359999,0.9594929736144974,0.11703593376333724,0.25627294783599996,0.9594929736144975,0.39858778610928514,0.8727855081175956,-0.2817325568414297,-0.9096319953545184,0.41541501300188655,0.0
0.22459031221266756,0.49178418555223313,0.8412535328311812,0.22459031221266756,0.49178418555223313,0.8412535328311812,0.3494693472789481,0.7652311296682652,-0.5406408174555977,-0.9096319953545183,0.41541501300188644,0.0
0.31394971925654436,0.6874539933081919,0.6548607339452851,0.31394971925654436,0.6874539933081919,0.6548607339452851,0.2720389803063055,0.5956822760979741,-0.7557495743542583,-0.9096319953545183,0.41541501300188644,0.0
0.37787478717712913,0.8274303669726425,0.41541501300188644,0.37787478717712913,0.8274303669726425,0.41541501300188644,0.17256963302735748,0.37787478717712913,-0.9096319953545183,-0.9096319953545183,0.41541501300188644,0.0
0.41118668714851364,0.9003732532228392,0.14231483827328512,0.4111866871485137,0.9003732532228393,0.14231483827328514,0.05911972039165811,0.12945413030708394,-0.9898214418809328,-0.9096319953545183,0.41541501300188644,0.0
0.4111866871485137,0.9003732532228393,-0.142314838273285,0.4111866871485137,0.9003732532228393,-0.142314838273285,-0.059119720391658054,-0.1294541303070838,-0.9898214418809328,-0.9096319953545183,0.41541501300188644,0.0
0.3778747871771292,0.8274303669726426,-0.4154150130018863,0.3778747871771292,0.8274303669726426,-0.4154150130018863,-0.17256963302735742,-0.377874787177129,-0.9096319953545184,-0.9096319953545183,0.41541501300188644,0.0
0.31394971925654436,0.6874539933081919,-0.654860733945285,0.3139497192565444,0.687453993308192,-0.6548607339452851,-0.2720389803063055,-0.5956822760979741,-0.7557495743542584,-0.9096319953545183,0.41541501300188644,0.0
0.22459031221266765,0.4917841855522333,-0.8412535328311811,0.22459031221266765,0.4917841855522333,-0.8412535328311811,-0.349469347278948,-0.765231129668265,-0.5406408174555978,-0.9096319953545183,0.41541501300188644,0.0
0.11703593376333722,0.2562729478359999,-0.9594929736144974,0.11703593376333724,0.25627294783599996,-0.9594929736144975,-0.39858778610928514,-0.8727855081175956,-0.2817325568414297,-0.9096319953545184,0.41541501300188655,0.0
-0.040094723263207135,0.27886492563758575,0.9594929736144974,-0.04009472326320714,0.2788649256375858,0.9594929736144975,-0.13655008736430052,0.9497267186177256,-0.28173255684142967,-0.9898214418809327,-0.142314838273285,0.0
-0.07694121050012996,0.5351378734735858,0.8412535328311812,-0.07694121050012996,0.5351378734735858,0.8412535328311812,-0.11972286047169921,0.8326907848543884,-0.5406408174555976,-0.9898214418809328,-0.142314838273285,0.0
-0.10755437844933025,0.7480571333882331,0.6548607339452851,-0.10755437844933025,0.7480571333882331,0.6548607339452851,-0.09319639944294797,0.648195195904928,-0.7557495743542583,-0.9898214418809327,-0.142314838273285,0.0
-0.1294541303070838,0.9003732532228393,0.41541501300188644,-0.1294541303070838,0.9003732532228393,0.41541501300188644,-0.059119720391658054,0.4111866871485137,-0.9096319953545183,-0.9898214418809327,-0.14231483827328498,0.0
-0.1408662784207147,0.9797464868072487,0.14231483827328512,-0.1408662784207147,0.9797464868072487,0.14231483827328512,-0.020253513192751284,0.14086627842071486,-0.9898214418809328,-0.9898214418809327,-0.14231483827328498,0.0
