Ex_Re,Ex_Im,Ey_Re,Ey_Im,Ez_Re,Ez_Im,Hx_Re,Hx_Im,Hy_Re,Hy_Im,Hz_Re,Hz_Im
0.198669,-4.866e-16,0.980067,-2.40047e-15,0,0,-0.980067,2.40047e-15,0.198669,-4.866e-16,0,0
0.198669,-1.9464e-16,0.980067,-9.60188e-16,0,0,-0.980067,9.60188e-16,0.198669,-1.9464e-16,0,0
0.198669,-4.866e-17,0.980067,-2.40047e-16,0,0,-0.980067,2.40047e-16,0.198669,-4.866e-17,0,0
0.198669,4.866e-17,0.980067,2.40047e-16,0,0,-0.980067,-2.40047e-16,0.198669,4.866e-17,0,0
0.0239469,0.197221,0.118134,0.972921,0,0,-0.118134,-0.972921,0.0239469,0.197221,0,0
0.0239469,-0.197221,0.118134,-0.972921,0,0,-0.118134,0.972921,0.0239469,-0.197221,0,0
