Ex_Re,Ex_Im,Ey_Re,Ey_Im,Ez_Re,Ez_Im,Hx_Re,Hx_Im,Hy_Re,Hy_Im,Hz_Re,Hz_Im
-1.192873600809303e-16,2.771504197256523e-17,-0.9740552146462377,0.22631049206890935,0.0,0.0,-1.192873600809303e-16,2.771504197256523e-17,-0.9740552146462377,0.22631049206890935,0.0,0.0
-7.161434233677938e-17,-9.934275916386229e-17,-0.5847754829118084,-0.8111951889559389,0.0,0.0,-7.161434233677938e-17,-9.934275916386229e-17,-0.5847754829118084,-0.8111951889559389,0.0,0.0
-1.117963891484133e-16,4.9991651302943695e-17,-0.9128867950028555,0.40821281154492733,0.0,0.0,-1.117963891484133e-16,4.9991651302943695e-17,-0.9128867950028555,0.40821281154492733,0.0,0.0
-1.0535184835840139e-16,6.243865688887754e-17,-0.8602631259212978,0.50985032527215,0.0,0.0,-1.0535184835840139e-16,6.243865688887754e-17,-0.8602631259212978,0.50985032527215,0.0,0.0
-1.0871889573327532e-16,5.6371974749478e-17,-0.887757154217605,0.4603121062230054,0.0,0.0,-1.0871889573327532e-16,5.6371974749478e-17,-0.887757154217605,0.4603121062230054,0.0,0.0
-7.26512185052674e-17,-9.858700865894283e-17,-0.5932422193554093,-0.8050240177623699,0.0,0.0,-7.26512185052674e-17,-9.858700865894283e-17,-0.5932422193554093,-0.8050240177623699,0.0,0.0
-1.0664520884466654e-16,-6.020296717850404e-17,-0.8708242157568785,-0.49159453338235726,0.0,0.0,-1.0664520884466654e-16,-6.020296717850404e-17,-0.8708242157568785,-0.49159453338235726,0.0,0.0
-1.0833684991219946e-16,5.710275630580494e-17,-0.884637513343666,0.46627939047864325,0.0,0.0,-1.0833684991219946e-16,5.710275630580494e-17,-0.884637513343666,0.46627939047864325,0.0,0.0
-1.1582085431951453e-16,3.978853517429823e-17,-0.9457490469917819,0.32489804572224873,0.0,0.0,-1.1582085431951453e-16,3.978853517429823e-17,-0.9457490469917819,0.32489804572224873,0.0,0.0
-1.0810908236469555e-16,5.753280922119177e-17,-0.8827776501760778,0.4697910390265042,0.0,0.0,-1.0810908236469555e-16,5.753280922119177e-17,-0.8827776501760778,0.4697910390265042,0.0,0.0
-9.94915980397655e-17,7.14074208056299e-17,-0.8124105506096568,0.5830858403855425,0.0,0.0,-9.94915980397655e-17,7.14074208056299e-17,-0.8124105506096568,0.5830858403855425,0.0,0.0
-1.2202689181618157e-16,1.0345796262274626e-17,-0.9964251888882693,0.08447983752930047,0.0,0.0,-1.2202689181618157e-16,1.0345796262274626e-17,-0.9964251888882693,0.08447983752930047,0.0,0.0
-9.28772301246002e-17,-7.982116230048667e-17,-0.7584001378133266,-0.6517892534897513,0.0,0.0,-9.28772301246002e-17,-7.982116230048667e-17,-0.7584001378133266,-0.6517892534897513,0.0,0.0
-7.430661912493528e-17,9.734538602748658e-17,-0.6067595912280214,0.7948853995720417,0.0,0.0,-7.430661912493528e-17,9.734538602748658e-17,-0.6067595912280214,0.7948853995720417,0.0,0.0
-1.1505965502079494e-16,-4.193892718125049e-17,-0.9395333830203448,-0.34245732900661646,0.0,0.0,-1.1505965502079494e-16,-4.193892718125049e-17,-0.9395333830203448,-0.34245732900661646,0.0,0.0
-1.0419959426115036e-16,6.434316111623845e-17,-0.8508542571923445,0.5254017824652517,0.0,0.0,-1.0419959426115036e-16,6.434316111623845e-17,-0.8508542571923445,0.5254017824652517,0.0,0.0
-8.596805689164192e-17,-8.721863918276869e-17,-0.7019824569132604,-0.7121942362768898,0.0,0.0,-8.596805689164192e-17,-8.721863918276869e-17,-0.7019824569132604,-0.7121942362768898,0.0,0.0
-9.576472141096521e-17,-7.633292841034462e-17,-0.7819782934772731,-0.6233056621998325,0.0,0.0,-9.576472141096521e-17,-7.633292841034462e-17,-0.7819782934772731,-0.6233056621998325,0.0,0.0
-1.2168721710387053e-16,1.3777482358328559e-17,-0.9936515343737796,0.11250168103914515,0.0,0.0,-1.2168721710387053e-16,1.3777482358328559e-17,-0.9936515343737796,0.11250168103914515,0.0,0.0
-1.1387836011608474e-16,-4.50479402846556e-17,-0.9298873781025785,-0.3678443475785813,0.0,0.0,-1.1387836011608474e-16,-4.50479402846556e-17,-0.9298873781025785,-0.3678443475785813,0.0,0.0
-9.138181800417598e-17,8.152889772878225e-17,-0.746189171178168,0.6657339715054647,0.0,0.0,-9.138181800417598e-17,8.152889772878225e-17,-0.746189171178168,0.6657339715054647,0.0,0.0
-1.0093002419319612e-16,-6.93594120720427e-17,-0.8241561915114426,-0.5663625799727189,0.0,0.0,-1.0093002419319612e-16,-6.93594120720427e-17,-0.8241561915114426,-0.5663625799727189,0.0,0.0
-8.05661904346464e-17,-9.223170162946615e-17,-0.6578728698816648,-0.7531289976316555,0.0,0.0,-8.05661904346464e-17,-9.223170162946615e-17,-0.6578728698816648,-0.7531289976316555,0.0,0.0
-9.500009484209565e-17,-7.728246765348146e-17,-0.7757346437212624,-0.6310592385272923,0.0,0.0,-9.500009484209565e-17,-7.728246765348146e-17,-0.7757346437212624,-0.6310592385272923,0.0,0.0
-1.2125404686076842e-16,1.717713440900873e-17,-0.9901144309133884,0.14026194671776485,0.0,0.0,-1.2125404686076842e-16,1.717713440900873e-17,-0.9901144309133884,0.14026194671776485,0.0,0.0
