frequency,beta,direction,flux,type
1.6666666666666665,0.0,X1,3.4924324889790067e-09,scattered
1.9444444444444444,0.0,X1,1.0969762102351848e-06,scattered
2.2222222222222223,0.0,X1,7.232717305530074e-05,scattered
2.5,0.0,X1,-1.024389589746275e-05,scattered
2.7777777777777777,0.0,X1,3.702087136256949e-05,scattered
3.055555555555556,0.0,X1,6.968230150536077e-07,scattered
3.3333333333333335,0.0,X1,-1.5945459797941918e-07,scattered
1.6666666666666665,0.0,X2,-3.492432488979729e-09,scattered
1.9444444444444444,0.0,X2,-1.0969762102351767e-06,scattered
2.2222222222222223,0.0,X2,-7.232717305530052e-05,scattered
2.5,0.0,X2,1.0243895897463317e-05,scattered
2.7777777777777777,0.0,X2,-3.7020871362569475e-05,scattered
3.055555555555556,0.0,X2,-6.968230150535972e-07,scattered
3.3333333333333335,0.0,X2,1.5945459797941992e-07,scattered
1.6666666666666665,0.0,Y1,5.317275897935365e-09,scattered
1.9444444444444444,0.0,Y1,2.129484995213376e-06,scattered
2.2222222222222223,0.0,Y1,0.0001888002225076041,scattered
2.5,0.0,Y1,0.0007665865314388512,scattered
2.7777777777777777,0.0,Y1,0.0007113579773305887,scattered
3.055555555555556,0.0,Y1,6.974545461111633e-05,scattered
3.3333333333333335,0.0,Y1,-2.9774215164071893e-06,scattered
1.6666666666666665,0.0,Y2,-5.317275897935323e-09,scattered
1.9444444444444444,0.0,Y2,-2.1294849952133147e-06,scattered
2.2222222222222223,0.0,Y2,-0.00018880022250760382,scattered
2.5,0.0,Y2,-0.0007665865314388527,scattered
2.7777777777777777,0.0,Y2,-0.0007113579773305893,scattered
3.055555555555556,0.0,Y2,-6.974545461111635e-05,scattered
3.3333333333333335,0.0,Y2,2.977421516407277e-06,scattered
1.6666666666666665,0.0,Z1,1.4170070868719823e-07,scattered
1.9444444444444444,0.0,Z1,0.0001271068330979019,scattered
2.2222222222222223,0.0,Z1,0.012257096559850706,scattered
2.5,0.0,Z1,0.05060611250998971,scattered
2.7777777777777777,0.0,Z1,0.025386768470203044,scattered
3.055555555555556,0.0,Z1,0.0015452618217109166,scattered
3.3333333333333335,0.0,Z1,2.385072107138014e-05,scattered
1.6666666666666665,0.0,Z2,1.6253135468211352e-07,scattered
1.9444444444444444,0.0,Z2,0.00013372614574759235,scattered
2.2222222222222223,0.0,Z2,0.012985094099808669,scattered
2.5,0.0,Z2,0.05308696530254429,scattered
2.7777777777777777,0.0,Z2,0.027670042310746917,scattered
