frequency,beta,direction,flux,type
1.6666666666666665,0.0,X1,5.031003699373093e-22,incident
1.9444444444444444,0.0,X1,8.080060879872493e-21,incident
2.2222222222222223,0.0,X1,4.431020464445065e-20,incident
2.5,0.0,X1,-5.93368233651927e-19,incident
2.7777777777777777,0.0,X1,1.752711681808292e-19,incident
3.055555555555556,0.0,X1,-1.0057778158543941e-21,incident
3.3333333333333335,0.0,X1,3.505530383594778e-22,incident
1.6666666666666665,0.0,X2,1.3275359997742362e-21,incident
1.9444444444444444,0.0,X2,-2.3128145918836077e-20,incident
2.2222222222222223,0.0,X2,-2.2478573965370382e-19,incident
2.5,0.0,X2,2.656370865949039e-19,incident
2.7777777777777777,0.0,X2,1.498381019837582e-20,incident
3.055555555555556,0.0,X2,-1.8425248960785644e-21,incident
3.3333333333333335,0.0,X2,3.6489036575129537e-22,incident
1.6666666666666665,0.0,Y1,1.36002328595943e-21,incident
1.9444444444444444,0.0,Y1,1.3922706813362364e-20,incident
2.2222222222222223,0.0,Y1,7.60727973316385e-20,incident
2.5,0.0,Y1,-6.149927834216967e-19,incident
2.7777777777777777,0.0,Y1,-3.373339762531576e-19,incident
3.055555555555556,0.0,Y1,1.0379201370406098e-19,incident
3.3333333333333335,0.0,Y1,1.691788165545808e-19,incident
1.6666666666666665,0.0,Y2,1.0136401659477097e-21,incident
1.9444444444444444,0.0,Y2,-3.405187210820039e-20,incident
2.2222222222222223,0.0,Y2,-4.668375631741714e-20,incident
2.5,0.0,Y2,6.894340193746032e-19,incident
2.7777777777777777,0.0,Y2,1.592174408204173e-19,incident
3.055555555555556,0.0,Y2,4.240216157540222e-20,incident
3.3333333333333335,0.0,Y2,-1.1757354735191622e-19,incident
1.6666666666666665,0.0,Z1,-6.057792810473148e-07,incident
1.9444444444444444,0.0,Z1,-0.00020529449441227665,incident
2.2222222222222223,0.0,Z1,-0.007811760778946441,incident
2.5,0.0,Z1,-0.033171004604781874,incident
2.7777777777777777,0.0,Z1,-0.016327942853852664,incident
3.055555555555556,0.0,Z1,-0.0010021168728754767,incident
3.3333333333333335,0.0,Z1,-1.7877673607257218e-05,incident
1.6666666666666665,0.0,Z2,-5.991711475023182e-07,incident
1.9444444444444444,0.0,Z2,-0.00020567344850992093,incident
2.2222222222222223,0.0,Z2,-0.00781664920108962,incident
2.5,0.0,Z2,-0.033167617792432755,incident
2.7777777777777777,0.0,Z2,-0.016310645216579624,incident
3.055555555555556,0.0,Z2,-0.0010024731434632914,incident
3.3333333333333335,0.0,Z2,-2.0239679675446245e-05,incident
1.6666666666666665,14.999999999999998,X1,5.540583917810149e-22,incident
1.9444444444444444,14.999999999999998,X1,1.0135622857993311e-20,incident
2.2222222222222223,14.999999999999998,X1,3.604138058773658e-20,incident
2.5,14.999999999999998,X1,-5.6487533461808205e-19,incident
2.7777777777777777,14.999999999999998,X1,1.7274963922296476e-19,incident
3.055555555555556,14.999999999999998,X1,-8.268937569609185e-21,incident
3.3333333333333335,14.999999999999998,X1,5.1195135357691256e-21,incident
1.6666666666666665,14.999999999999998,X2,1.2620899610204806e-21,incident
1.9444444444444444,14.999999999999998,X2,-2.2393330209634072e-20,incident
2.2222222222222223,14.999999999999998,X2,-2.0888743533670703e-19,incident
2.5,14.999999999999998,X2,2.567614465983e-19,incident
2.7777777777777777,14.999999999999998,X2,1.8054668602344238e-20,incident
3.055555555555556,14.999999999999998,X2,-2.9921565247594397e-21,incident
3.3333333333333335,14.999999999999998,X2,-4.433399356694697e-21,incident
1.6666666666666665,14.999999999999998,Y1,1.2723381404503994e-21,incident
1.9444444444444444,14.999999999999998,Y1,1.2791047030328077e-20,incident
2.2222222222222223,14.999999999999998,Y1,6.9467940124298e-20,incident
2.5,14.999999999999998,Y1,-6.023961561108807e-19,incident
2.7777777777777777,14.999999999999998,Y1,-3.174672242515436e-19,incident
3.055555555555556,14.999999999999998,Y1,9.700628506590622e-20,incident
3.3333333333333335,14.999999999999998,Y1,1.5784331414717747e-19,incident
1.6666666666666665,14.999999999999998,Y2,9.264834336716055e-22,incident
1.9444444444444444,14.999999999999998,Y2,-3.273019020975595e-20,incident
2.2222222222222223,14.999999999999998,Y2,-3.9173915856822185e-20,incident
2.5,14.999999999999998,Y2,6.512355931045665e-19,incident
