pair,RMSE position,mean angle tau1 (deg),mean angle tau2 (deg),mean angle normal (deg)
surface_dataZero,1.2110601416389966,0.0,0.0,0.0
surface_data_innerauxZero,1.2344269231395324,0.0,0.0,0.0
surface_data_outerauxZero,1.2344269231395324,0.0,0.0,0.0
