-0.0327142+0.00535458i
-0.0265947+-0.00659211i
-0.0261598+-0.00548432i
-0.0253931+-0.0041655i
-0.0130276+-0.0111316i
-0.0190494+0.0240812i
-0.0239196+0.0217078i
-0.0233274+0.0254454i
-0.0222292+0.0207078i
0.0121484+0.0125932i
0.0124648+0.0330302i
0.0139239+0.0338418i
0.0113133+0.0285861i
-0.00133812+0.0298432i
0.0318202+-0.00903726i
0.0367172+-0.0120498i
0.0375854+-0.0101438i
0.0391405+-0.00462127i
-0.00148542+-0.0165117i
-0.00306882+-0.0348318i
-0.00354131+-0.0368847i
-0.00226209+-0.0366026i
0.0115688+-0.0306001i
-0.0341005+0.00222777i
-0.0392192+0.00311531i
-0.0397495+-8.3929e-05i
-0.0414254+-0.00729109i
-0.00428733+0.0179002i
-0.00161648+0.0305812i
-0.00243642+0.0382262i
-0.00640044+0.0410302i
-0.0180648+0.0294288i
0.0297109+0.000531904i
0.0327117+0.00759673i
0.0373397+0.00740291i
0.0399582+0.0147171i
0.00333723+-0.0178515i
0.0078894+-0.019818i
0.0103342+-0.0286374i
0.0157283+-0.0390741i
0.0211781+-0.0306168i
-0.0230784+0.00229691i
-0.0189134+-0.0167296i
-0.0260498+-0.0181203i
-0.0322198+-0.0195924i
0.00391589+0.013098i
-0.0104101+0.0113479i
-0.0132558+0.0153554i
-0.0239917+0.0226776i
-0.0224749+0.0256495i
0.0161493+-0.013611i
0.0043058+0.00947801i
0.00784278+0.0240883i
0.0173357+0.0176391i
-0.00801163+-0.00804841i
0.00291724+-0.0078184i
0.0170181+-0.00266853i
0.0191632+-0.00694427i
0.0184178+-0.0114829i
-0.00016698+0.0293364i
-0.00809601+0.00652315i
0.00147824+-0.0136385i
-0.006772+-0.0151587i
2.02671e-05+0.0175328i
0.017926+-0.00611203i
-0.00399693+0.00402884i
-0.0116724+0.00918455i
-0.0185564+0.00205405i
-0.00411708+-0.0164878i
0.00293028+-0.028532i
0.0115085+-0.0125025i
0.00396981+0.0263219i
-0.00684509+-0.0313494i
-0.0443294+0.0259148i
-0.057789+0.016171i
0.0175813+-0.0343993i
0.0304262+0.00378907i
-0.0414646+0.0310716i
0.060022+0.0734932i
-0.0456112+0.0484985i
