x,y,z,tau1_x,tau1_y,tau1_z,tau2_x,tau2_y,tau2_z,normal_x,normal_y,normal_z
-0.8763442728829536,-1.0155593409625117,-19.137661839252573,0.9994691231212446,0.0,0.03258023829333242,-0.0008242617601307833,0.9996799179600352,0.025286008383458757,-0.03256980994419695,-0.025299439270813105,0.999149211005434
-0.8278629425892597,-0.9728539137406751,-19.134959323682683,0.9993833802559218,0.0,0.0351120957541402,-0.0008543580248169919,0.9997039257741134,0.02431729557725701,-0.035101699967570524,-0.02433229935345717,0.9990874885952482
-0.7884782795483525,-0.9299881214728032,-19.132511622271256,0.9993090058819287,0.0,0.03716867986990117,-0.000868763415448114,0.9997268016274671,0.023357383368922766,-0.03715852544705152,-0.023373534343672783,0.9990359962878645
-0.7577845007402817,-0.8869616323986209,-19.13035917525094,0.9992481133395933,0.0,0.03877122628010546,-0.0008693734710417562,0.9997485693039655,0.022406301891248964,-0.03876147800369575,-0.02242316156731557,0.9989968716909454
-0.7353768309362534,-0.8437745774746995,-19.128527641182377,0.9992020433719561,0.0,0.03994091287524446,-0.0008579777065932883,0.999769252955711,0.021464033139987446,-0.03993169662765229,-0.02148117418530678,0.9989714804538004
-0.7208516133711088,-0.8004274410437446,-19.12702969525541,0.999171458385969,0.0,0.040698854367856356,-0.0008362616190350269,0.9997888768716402,0.020530522405647008,-0.040690261898401546,-0.020547546903322663,0.9989605101819065
-0.7138063162208622,-0.7569209650920736,-19.12586673523797,0.9991564318174527,0.0,0.04106610229637097,-0.0008058089550341995,0.9998074652948148,0.019605688273699903,-0.041058195646472236,-0.019622240971854037,0.9989640595284188
-0.7138394597172107,-0.7132560661876539,-19.125030495657352,0.9991565326401496,0.0,0.04106364916216756,-0.0007681041203361949,0.9998250422819346,0.01868943129118665,-0.041056464759814705,-0.01870520852403587,0.9989817224932088
-0.7205504856848762,-0.6694337642031896,-19.124504571522174,0.9991709050961903,0.0,0.040712435560400974,-0.0007245346374902698,0.9998416315991269,0.017781641396537543,-0.04070598799708562,-0.017796396298014407,0.9990126679977512
-0.7335395884293704,-0.625455121952294,-19.124265853278125,0.9991983437445925,0.0,0.040033359315245716,-0.0006763935821857342,0.9998572566485907,0.016882204206682107,-0.04002764481936888,-0.016895748789388917,0.9990557148242837
-0.7524075232344154,-0.5813211948972373,-19.124285874814536,0.9992373639301034,0.0,0.039047285770180414,-0.0006248819483810501,0.9998719404211746,0.0159910062518259,-0.0390422853912104,-0.016003210877675374,0.9991094020141317
-0.7767554062456812,-0.5370329901206521,-19.124532076268487,0.9992862677702827,0.0,0.037775058514035925,-0.000571110909235712,0.9998857054704429,0.015107939244117742,-0.03777074103149407,-0.015118729968968988,0.999172054816415
-0.8061845172128358,-0.49259143378834835,-19.12496898316514,0.9993432057471767,0.0,0.0362375099441986,-0.0005161039548564463,0.9998985739042456,0.014232903462165393,-0.0362338345150451,-0.014242257695166806,0.9992418462674992
-0.8402961144256368,-0.4479973463642037,-19.12555930313707,0.999406233973831,0.0,0.03445547118012062,-0.00046079889932926373,0.9999105673902127,0.013365810329235898,-0.034452389737411535,-0.01337375120834585,0.9993168544660892
-0.8786912692024228,-0.40325142486978094,-19.126264941120617,0.9994733671872945,0.0,0.0324497809436589,-0.00040604975868971247,0.9999217071719975,0.012506584259161258,-0.03244724035854076,-0.012513174107237224,0.9993951155908642
-0.9209707254621367,-0.3583542315101689,-19.1270479335682,0.9995426275004673,0.0,0.030241293118221043,-0.0003526285086255853,0.9999320140934506,0.01165516384055745,-0.030239237136493177,-0.01166049703123042,0.999474672688802
-0.9667347882269596,-0.3133061880132634,-19.127871301868176,0.9996120889265024,0.0,0.027850882786621838,-0.0003012267360280292,0.999941508628242,0.010811502426994107,-0.02784925375028298,-0.010815697955998843,0.9995536202441953
-1.0155832433566205,-0.2681075750523177,-19.128699824850003,0.9996799176726068,0.0,0.02529945062822961,-0.00025245720220824156,0.9999502109127653,0.009975568198219499,-0.025298190991675292,-0.00997876222365655,0.9996301445219791
-1.067115309404515,-0.22275853614136892,-19.12950072998663,0.9997444081857759,0.0,0.02260792562957585,-0.0002068553378616678,0.9999581407804478,0.009147343755414752,-0.0226069792794533,-0.009149682339323431,0.9997025596650975
-1.1209296212088504,-0.1772590854104819,-19.13024430270004,0.9998040149218297,0.0,0.01979726612917969,-0.0001648806908612837,0.9999653177958658,0.00832682531166373,-0.019796579516354496,-0.008328457565070658,0.9997693395148899
-1.1766242436899848,-0.131609118683222,-19.130904413034752,0.9998573798013662,0.0,0.01688845927686739,-0.00012691834785826987,0.9999717612873225,0.007514021537305475,-0.016887982368518305,-0.007515093341410578,0.9998291451160995
-1.2337967133200256,-0.08580842729290769,-19.131458958890917,0.9999033553120699,0.0,0.013902519040242171,-9.328034961784817e-05,0.9999774903767823,0.006708952118503599,-0.013902206099776802,-0.006709600565756412,0.9998808478642879
-1.2920441038659207,-0.03985671408765176,-19.131890225001,0.9999410232160677,0.0,0.010860482936017593,-6.420711817160403e-05,0.9999825240062941,0.005911646086137241,-0.010860293138286159,-0.005911994756574608,0.9999235482530395
-1.3509631122864199,0.006246388912484385,-19.132185156887342,0.9999697088234987,0.0,0.007783407701476974,-3.9868911373866164e-05,0.9999868809602397,0.0051221399709113985,-0.007783305590641865,-0.00512229513125731,0.9999565901811293
-1.4101501600904398,0.05250130172920772,-19.132335549144916,0.9999889907987353,0.0,0.0046923641511568675,-2.0367317455326525e-05,0.999990579882961,0.004340475839328898,-0.004692319948537373,-0.00434052362502708,0.9999795707854041
