x,y,z,Ex,Ey,Ez,|E|
-2.5,-2.5,-2.5,-8.535017278480521e-09,-2.447682475326649e-08,1.4600721899198578e-12,2.5922219659548662e-08
-2.5,-2.5,-1.25,0.0016910037307444601,0.0048305240354468894,-9.816978039754743e-06,0.005117963701266316
-2.5,-2.5,0.0,-0.014648937672735743,-0.04255034638916895,0.00028168865985248585,0.04500225218007482
-2.5,-2.5,1.25,0.0005948246371268707,0.0010593691914907875,-1.9559274187663778e-05,0.0012150975261351275
-2.5,-2.5,2.5,5.410049614407825e-05,8.398752892827239e-05,-1.2040965666442248e-06,9.991105317758702e-05
-2.5,-1.25,-2.5,-1.455632009789742e-07,-1.7367310000971115e-08,-7.536230211307168e-10,1.4659753368857558e-07
-2.5,-1.25,-1.25,0.025412801436585947,0.003894601250725347,-9.194342768909254e-05,0.02570966451261843
-2.5,-1.25,0.0,-0.12208898006817812,-0.023354662736490818,0.0013350687288282443,0.1243098617734487
-2.5,-1.25,1.25,0.00420509659928052,0.0016150708335872688,-7.133427717927255e-05,0.004505150362183882
-2.5,-1.25,2.5,0.00100430832923627,0.0002599715834789946,-1.2113106466856179e-05,0.0010374811669318154
-2.5,0.0,-2.5,-1.9708457041828363e-07,-1.463611516565777e-08,-5.878869372865515e-09,1.9771470574847236e-07
-2.5,0.0,-1.25,0.03328435685058788,0.0036108507868495548,-5.852232793830224e-05,0.03347969652229595
-2.5,0.0,0.0,-0.15849017946173327,-0.012462459104107815,0.0011223208954568692,0.1589833622645035
-2.5,0.0,1.25,0.004530136610733704,0.002219811978130824,-7.673125611895719e-05,0.005045353368776911
-2.5,0.0,2.5,0.0013012299453788905,0.0004096994141026744,-1.1097047061822459e-05,0.0013642492899467887
-2.5,1.25,-2.5,-2.0542439091081226e-07,-1.4547668320315403e-08,1.1804383490894977e-08,2.0627689765030942e-07
-2.5,1.25,-1.25,0.03435044818781901,0.003608283392093432,-5.5617759397228375e-05,0.03453948599902517
-2.5,1.25,0.0,-0.16242586417889548,-0.012487837796185905,0.0004896340692325623,0.16290594583564655
-2.5,1.25,1.25,0.0035721451606257892,0.002223095727683472,-2.3162214779003227e-05,0.004207482875927152
-2.5,1.25,2.5,0.0011119909406083282,0.0004100880241272347,4.431321411831744e-06,0.001185207018261801
-2.5,2.5,-2.5,-1.5063468066106864e-07,-1.7846574428963502e-08,6.129420222106131e-10,1.5168942921190406e-07
-2.5,2.5,-1.25,0.025942914502967616,0.003969745176991268,7.988892628584792e-06,0.026244880519844978
-2.5,2.5,0.0,-0.126620793047369,-0.024628970954770398,-8.347286650520625e-05,0.12899386966036416
-2.5,2.5,1.25,0.0016577003423225004,0.0015954244448315603,-7.236241427946339e-06,0.0023007394348974488
-2.5,2.5,2.5,0.000533153525073682,0.0002532355746728195,5.7377973608313e-06,0.0005902659230354742
-1.25,-2.5,-2.5,-6.20638111919987e-09,-4.288155794008596e-07,-2.332663916609415e-10,4.288605539294809e-07
-1.25,-2.5,-1.25,0.0014059344658066603,0.07451297867753665,-0.00013913061182859186,0.07452637117456022
-1.25,-2.5,0.0,-0.008453111398300664,-0.3615849851382186,0.002078674571072959,0.36168975304491313
-1.25,-2.5,1.25,0.0005824577311710289,0.009108092729498267,-0.00012899016239915694,0.00912760914148584
-1.25,-2.5,2.5,9.139532314720716e-05,0.00235214182976528,-1.2182247803266116e-05,0.0023539483213499573
