-0.0406008+0.506973i,-0.22097+0.441267i,-0.45513+0.00733754i,-0.203939+0.417328i,-0.333921+0.30618i,-0.401362+-0.133954i,-0.363889+0.0188934i,-0.344161+-0.105057i,-0.095201+-0.333201i,0+0i,0+0i,0+0i,0+0i,0.0224933+-0.0148481i,0.0381338+0.0192649i,0+0i,0.0381338+0.0192649i,0.00853449+0.0693506i,0.491874+-0.133138i,0.463917+0.170902i,-0.231569+0.392697i,0.4376+0.15821i,0.26511+0.36832i,-0.374221+0.198783i,-0.178253+0.318286i,-0.315386+0.174104i,-0.161241+-0.307161i,-0+-0i,-0+-0i,-0+-0i,-0+0i,-0.0134302+-0.0232061i,0.0392231+-0.0164525i,-0+0i,0.0392231+-0.0164525i,0.0262016+0.0644823i
-0.22097+0.441267i,-0.0406008+0.506973i,-0.22097+0.441267i,-0.333921+0.30618i,-0.203939+0.417328i,-0.333921+0.30618i,-0.344161+-0.105057i,-0.363889+0.0188934i,-0.344161+-0.105057i,0+0i,0+0i,0+0i,-0.0224933+0.0148481i,0+0i,0.0224933+-0.0148481i,-0.0381338+-0.0192649i,0+0i,0.0381338+0.0192649i,0.463917+0.170902i,0.491874+-0.133138i,0.463917+0.170902i,0.26511+0.36832i,0.4376+0.15821i,0.26511+0.36832i,-0.315386+0.174104i,-0.178253+0.318286i,-0.315386+0.174104i,-0+0i,-0+-0i,-0+-0i,0.0134302+0.0232061i,-0+0i,-0.0134302+-0.0232061i,-0.0392231+0.0164525i,-0+0i,0.0392231+-0.0164525i
-0.45513+0.00733754i,-0.22097+0.441267i,-0.0406008+0.506973i,-0.401362+-0.133954i,-0.333921+0.30618i,-0.203939+0.417328i,-0.095201+-0.333201i,-0.344161+-0.105057i,-0.363889+0.0188934i,0+0i,0+0i,0+0i,-0.0381338+-0.0192649i,-0.0224933+0.0148481i,0+0i,-0.00853449+-0.0693506i,-0.0381338+-0.0192649i,0+0i,-0.231569+0.392697i,0.463917+0.170902i,0.491874+-0.133138i,-0.374221+0.198783i,0.26511+0.36832i,0.4376+0.15821i,-0.161241+-0.307161i,-0.315386+0.174104i,-0.178253+0.318286i,-0+0i,-0+0i,-0+-0i,-0.0392231+0.0164525i,0.0134302+0.0232061i,-0+0i,-0.0262016+-0.0644823i,-0.0392231+0.0164525i,-0+0i
-0.203939+0.417328i,-0.333921+0.30618i,-0.401362+-0.133954i,-0.0406008+0.506973i,-0.22097+0.441267i,-0.45513+0.00733754i,-0.203939+0.417328i,-0.333921+0.30618i,-0.401362+-0.133954i,0+0i,-0.0224933+0.0148481i,-0.0381338+-0.0192649i,0+0i,0+0i,0+0i,0+0i,0.0224933+-0.0148481i,0.0381338+0.0192649i,0.4376+0.15821i,0.26511+0.36832i,-0.374221+0.198783i,0.491874+-0.133138i,0.463917+0.170902i,-0.231569+0.392697i,0.4376+0.15821i,0.26511+0.36832i,-0.374221+0.198783i,-0+0i,0.0134302+0.0232061i,-0.0392231+0.0164525i,-0+-0i,-0+-0i,-0+-0i,-0+0i,-0.0134302+-0.0232061i,0.0392231+-0.0164525i
-0.333921+0.30618i,-0.203939+0.417328i,-0.333921+0.30618i,-0.22097+0.441267i,-0.0406008+0.506973i,-0.22097+0.441267i,-0.333921+0.30618i,-0.203939+0.417328i,-0.333921+0.30618i,0.0224933+-0.0148481i,0+0i,-0.0224933+0.0148481i,0+0i,0+0i,0+0i,-0.0224933+0.0148481i,0+0i,0.0224933+-0.0148481i,0.26511+0.36832i,0.4376+0.15821i,0.26511+0.36832i,0.463917+0.170902i,0.491874+-0.133138i,0.463917+0.170902i,0.26511+0.36832i,0.4376+0.15821i,0.26511+0.36832i,-0.0134302+-0.0232061i,-0+0i,0.0134302+0.0232061i,-0+0i,-0+-0i,-0+-0i,0.0134302+0.0232061i,-0+0i,-0.0134302+-0.0232061i
-0.401362+-0.133954i,-0.333921+0.30618i,-0.203939+0.417328i,-0.45513+0.00733754i,-0.22097+0.441267i,-0.0406008+0.506973i,-0.401362+-0.133954i,-0.333921+0.30618i,-0.203939+0.417328i,0.0381338+0.0192649i,0.0224933+-0.0148481i,0+0i,0+0i,0+0i,0+0i,-0.0381338+-0.0192649i,-0.0224933+0.0148481i,0+0i,-0.374221+0.198783i,0.26511+0.36832i,0.4376+0.15821i,-0.231569+0.392697i,0.463917+0.170902i,0.491874+-0.133138i,-0.374221+0.198783i,0.26511+0.36832i,0.4376+0.15821i,0.0392231+-0.0164525i,-0.0134302+-0.0232061i,-0+0i,-0+0i,-0+0i,-0+-0i,-0.0392231+0.0164525i,0.0134302+0.0232061i,-0+0i
-0.363889+0.0188934i,-0.344161+-0.105057i,-0.095201+-0.333201i,-0.203939+0.417328i,-0.333921+0.30618i,-0.401362+-0.133954i,-0.0406008+0.506973i,-0.22097+0.441267i,-0.45513+0.00733754i,0+0i,-0.0381338+-0.0192649i,-0.00853449+-0.0693506i,0+0i,-0.0224933+0.0148481i,-0.0381338+-0.0192649i,0+0i,0+0i,0+0i,-0.178253+0.318286i,-0.315386+0.174104i,-0.161241+-0.307161i,0.4376+0.15821i,0.26511+0.36832i,-0.374221+0.198783i,0.491874+-0.133138i,0.463917+0.170902i,-0.231569+0.392697i,-0+0i,-0.0392231+0.0164525i,-0.0262016+-0.0644823i,-0+0i,0.0134302+0.0232061i,-0.0392231+0.0164525i,-0+-0i,-0+-0i,-0+-0i
-0.344161+-0.105057i,-0.363889+0.0188934i,-0.344161+-0.105057i,-0.333921+0.30618i,-0.203939+0.417328i,-0.333921+0.30618i,-0.22097+0.441267i,-0.0406008+0.506973i,-0.22097+0.441267i,0.0381338+0.0192649i,0+0i,-0.0381338+-0.0192649i,0.0224933+-0.0148481i,0+0i,-0.0224933+0.0148481i,0+0i,0+0i,0+0i,-0.315386+0.174104i,-0.178253+0.318286i,-0.315386+0.174104i,0.26511+0.36832i,0.4376+0.15821i,0.26511+0.36832i,0.463917+0.170902i,0.491874+-0.133138i,0.463917+0.170902i,0.0392231+-0.0164525i,-0+0i,-0.0392231+0.0164525i,-0.0134302+-0.0232061i,-0+0i,0.0134302+0.0232061i,-0+0i,-0+-0i,-0+-0i
-0.095201+-0.333201i,-0.344161+-0.105057i,-0.363889+0.0188934i,-0.401362+-0.133954i,-0.333921+0.30618i,-0.203939+0.417328i,-0.45513+0.00733754i,-0.22097+0.441267i,-0.0406008+0.506973i,0.00853449+0.0693506i,0.0381338+0.0192649i,0+0i,0.0381338+0.0192649i,0.0224933+-0.0148481i,0+0i,0+0i,0+0i,0+0i,-0.161241+-0.307161i,-0.315386+0.174104i,-0.178253+0.318286i,-0.374221+0.198783i,0.26511+0.36832i,0.4376+0.15821i,-0.231569+0.392697i,0.463917+0.170902i,0.491874+-0.133138i,0.0262016+0.0644823i,0.0392231+-0.0164525i,-0+0i,0.0392231+-0.0164525i,-0.0134302+-0.0232061i,-0+0i,-0+0i,-0+0i,-0+-0i
0+0i,0+0i,0+0i,0+0i,0.0224933+-0.0148481i,0.0381338+0.0192649i,0+0i,0.0381338+0.0192649i,0.00853449+0.0693506i,-0.0406008+0.506973i,-0.203939+0.417328i,-0.363889+0.0188934i,-0.22097+0.441267i,-0.333921+0.30618i,-0.344161+-0.105057i,-0.45513+0.00733754i,-0.401362+-0.133954i,-0.095201+-0.333201i,-0+-0i,-0+0i,-0+0i,-0+-0i,-0.0134302+-0.0232061i,0.0392231+-0.0164525i,-0+-0i,0.0392231+-0.0164525i,0.0262016+0.0644823i,0.491874+-0.133138i,0.4376+0.15821i,-0.178253+0.318286i,0.463917+0.170902i,0.26511+0.36832i,-0.315386+0.174104i,-0.231569+0.392697i,-0.374221+0.198783i,-0.161241+-0.307161i
