0.043756+0.0607063i,0.0307839+-0.0198594i,0.00276444+-0.00302178i
0.0484274+0.0573489i,0.0241222+-0.0207611i,0.00122681+-0.00374557i
0.0533727+0.0515099i,0.0166207+-0.0206623i,-0.000516223+-0.00410258i
0.0577291+0.0432278i,0.00878405+-0.0190036i,-0.00234+-0.00394296i
0.00917895+-0.0533533i,-0.0488586+-0.035166i,-0.00243413+-0.0134505i
0.0248745+-0.0484252i,-0.0352873+-0.0462254i,0.00150354+-0.0127314i
0.0376794+-0.0391774i,-0.0201177+-0.052313i,0.00468437+-0.0110271i
0.0468173+-0.0270635i,-0.00502249+-0.0538422i,0.00697422+-0.00875634i
0.0521287+-0.013486i,0.00877451+-0.0516646i,0.00839461+-0.00629169i
0.0539267+0.000378131i,0.0205262+-0.046835i,0.00906892+-0.00392405i
0.0528354+0.0136608i,0.0299069+-0.0404267i,0.00917111+-0.00185346i
0.0496412+0.0258119i,0.0369123+-0.0334058i,0.00888413+-0.000197234i
0.0451776+0.0365562i,0.0417454+-0.0265629i,0.00837089+0.000992731i
0.0402449+0.0458226i,0.0447097+-0.020489i,0.00775677+0.00171065i
0.0355614+0.053661i,0.0461228+-0.0155793i,0.00712181+0.00198012i
0.0317369+0.0601621i,0.0462555+-0.0120509i,0.00649974+0.0018426i
0.0292567+0.065388i,0.0452974+-0.00996293i,0.00588222+0.00135208i
0.0284666+0.0693204i,0.043347+-0.00923336i,0.00522695+0.000575253i
0.0295531+0.0718308i,0.040426+-0.00965027i,0.00446951+-0.000404378i
0.0325153+0.0726794i,0.0365132+-0.0108806i,0.00353912+-0.00148107i
0.0371337+0.0715464i,0.0315948+-0.0124831i,0.00237809+-0.00252362i
0.0429454+0.0680969i,0.0257264+-0.0139327i,0.000963848+-0.00337817i
0.0492415+0.0620798i,0.0190944+-0.0146663i,-0.000669445+-0.00388069i
0.0551055+0.0534474i,0.0120653+-0.014154i,-0.00241493+-0.00388138i
0.0177209+-0.0450666i,-0.0385768+-0.0409311i,0.00056719+-0.0126333i
0.0314036+-0.0378735i,-0.0244602+-0.0491911i,0.00406459+-0.0112626i
0.0418142+-0.0270261i,-0.00955037+-0.0526532i,0.00669197+-0.00911463i
0.048419+-0.013981i,0.00465293+-0.0519134i,0.00839309+-0.00660328i
0.0512604+-7.2367e-05i,0.0171209+-0.0479183i,0.00925+-0.00407408i
0.0508005+0.0136358i,0.027294+-0.0417438i,0.00942671+-0.00177917i
0.047758+0.0264082i,0.0350082+-0.0344272i,0.00911917+0.00012344i
0.0429664+0.0378276i,0.0403867+-0.026863i,0.0085173+0.00155564i
0.0372694+0.0477392i,0.0437255+-0.0197529i,0.00778033+0.00249845i
0.0314524+0.0561713i,0.0453916+-0.0135965i,0.00702359+0.0029711i
0.0262053+0.0632498i,0.0457433+-0.00870708i,0.00631426+0.00301424i
0.0221047+0.0691177i,0.0450771+-0.00523693i,0.00567296+0.00267913i
0.0196052+0.073867i,0.0435982+-0.00320313i,0.00507949+0.00202336i
0.0190282+0.0774887i,0.0414144+-0.00250728i,0.00448154+0.00111224i
0.0205436+0.079845i,0.0385497+-0.00294793i,0.00380635+2.4087e-05i
0.0241412+0.0806696i,0.0349745+-0.00422825i,0.00297576+-0.00114325i
0.0295959+0.0795991i,0.0306508+-0.00596447i,0.00192457+-0.00226782i
0.0364375+0.0762404i,0.0255857+-0.00770284i,0.000621565+-0.00320494i
0.0439412+0.0702713i,0.019887+-0.00895262i,-0.000909518+-0.00379782i
0.0511578+0.0615655i,0.0138092+-0.00924059i,-0.00257391+-0.00389995i
0.0232757+-0.0358662i,-0.0285527+-0.0434901i,0.00289934+-0.01123i
0.034722+-0.0272158i,-0.0146089+-0.0492452i,0.00588324+-0.00942213i
0.0427427+-0.0155607i,-0.000513893+-0.050531i,0.00795246+-0.0070344i
0.0470067+-0.00229976i,0.01242+-0.0480581i,0.00911338+-0.00445893i
0.047708+0.0113389i,0.0233505+-0.0428097i,0.00949141+-0.00200545i
0.0454056+0.0244208i,0.0318811+-0.0358364i,0.00927498+0.000114699i
0.0408655+0.0363424i,0.0379771+-0.0281095i,0.00866844+0.0017828i
0.0349295+0.046807i,0.0418539+-0.0204343i,0.00785841+0.00295438i
0.0284218+0.0557599i,0.043867+-0.0134167i,0.00699338+0.00363652i
0.0220927+0.0633067i,0.0444173+-0.00746542i,0.00617446+0.00386676i
0.0165905+0.0696272i,0.0438806+-0.00281585i,0.00545392+0.00369697i
0.0124518+0.0748972i,0.0425608+0.000439297i,0.00483887+0.0031838i
0.0100969+0.0792235i,0.040668+0.00232088i,0.00429796+0.00238563i
