-0.000434247+-0.0129615i,0.00725231+0.021414i,0.00298156+0.00433616i
-0.00466437+-0.00882221i,0.0120855+0.0187878i,0.0039413+0.00339822i
-0.00755531+-0.00375087i,0.0163426+0.0149912i,0.00468625+0.00212858i
0.0166339+-0.0183636i,-0.0297815+0.0339137i,-0.0029178+0.00120709i
0.0205461+-0.0189753i,-0.0338278+0.0287206i,-0.00283992+0.000694491i
0.0246026+-0.0188378i,-0.03628+0.0238079i,-0.00266899+0.000410302i
0.0284306+-0.0180402i,-0.0374173+0.0195284i,-0.00249304+0.000340646i
0.0317339+-0.0167871i,-0.0375293+0.0160986i,-0.0023678+0.000449329i
0.034311+-0.015338i,-0.036876+0.0136219i,-0.00231714+0.000693747i
0.0360485+-0.0139545i,-0.0356647+0.0121149i,-0.00233838+0.00103538i
0.0369005+-0.0128595i,-0.0340397+0.0115313i,-0.00240946+0.00144477i
0.0368628+-0.0122108i,-0.0320818+0.0117799i,-0.00249583+0.0019019i
0.035951+-0.0120864i,-0.0298152+0.0127378i,-0.00255614+0.00239343i
0.0341854+-0.0124793i,-0.0272196+0.0142561i,-0.0025467+0.0029081i
0.0315868+-0.0132979i,-0.0242451+0.0161621i,-0.00242511+0.00343146i
0.0281819+-0.0143724i,-0.0208303+0.0182594i,-0.00215383+0.00394107i
0.0240191+-0.0154661i,-0.016922+0.0203276i,-0.00170424+0.00440282i
0.0191896+-0.0162932i,-0.0124964+0.0221246i,-0.00106168+0.00476937i
0.013852+-0.0165453i,-0.00757909+0.0233938i,-0.000231251+0.00498152i
0.0082523+-0.0159278i,-0.00226417+0.0238786i,0.000756262+0.00497304i
0.00273399+-0.0142055i,0.00327316+0.0233437i,0.00183974+0.00467956i
-0.00227003+-0.0112555i,0.00877183+0.0216031i,0.00292618+0.00405103i
-0.00626943+-0.00711851i,0.0138922+0.0185533i,0.00389428+0.00306663i
0.0182643+-0.0132971i,-0.0348808+0.0287605i,-0.00291786+0.000313681i
0.0217201+-0.0134622i,-0.0382511+0.0231019i,-0.00273197+-0.000172297i
0.0253173+-0.0129579i,-0.0401036+0.0179008i,-0.00249116+-0.000425529i
0.0287156+-0.0118821i,-0.0407434+0.0134784i,-0.00227913+-0.000470833i
0.0316532+-0.0104409i,-0.0404747+0.0100242i,-0.00214617+-0.000350532i
0.0339606+-0.0088905i,-0.039564+0.00762103i,-0.00211129+-0.00010918i
0.0355505+-0.00748683i,-0.0382182+0.00627095i,-0.00216854+0.000216031i
0.036395+-0.00644845i,-0.0365753+0.00591939i,-0.00229433+0.000599388i
0.0364986+-0.0059331i,-0.0347047+0.00647273i,-0.00245403+0.00102641i
0.0358754+-0.00602509i,-0.0326143+0.00780964i,-0.00260698+0.00149068i
0.0345327+-0.00673028i,-0.030262+0.00978602i,-0.00271+0.00198897i
0.032466+-0.00797582i,-0.0275711+0.0122352i,-0.00272001+0.00251578i
0.0296636+-0.00961324i,-0.0244487+0.0149655i,-0.00259652+0.00305814i
0.0261218+-0.011425i,-0.020806+0.0177574i,-0.00230473+0.0035912i
